tradeName,legalName,address,place,zip,county,registrationNumber,dateRegisteredThrough,cd_method
,"NICHOLSON PHARMACY, INC.",36 SCHUYLER ST. BELMONT NY 14813,. BELMONT,14813,ALLEGANY,026164,"September 30, 2028",county wholly in NY-23
CUBA PHARMACY,"FILLMORE AND FISHER PHARMACY, INC.",2 CENTER ST. CUBA NY 14727,. CUBA,14727,ALLEGANY,020318,"October 31, 2028",county wholly in NY-23
FRIENDSHIP PHARMACY,"MARKS, JEFFREY A.",FRIENDSHIP PHARMACY 9 WEST MAIN ST. PO BOX 128 FRIENDSHIP NY 14739,. FRIENDSHIP,14739,ALLEGANY,021983,"February 29, 2028",county wholly in NY-23
,"FILLMORE AND FISHER PHARMACY,INC.",138 N. MAIN ST. WELLSVILLE NY 14895,. WELLSVILLE,14895,ALLEGANY,014331,"July 31, 2028",county wholly in NY-23
WALGREENS,"WALGREEN EASTERN CO., INC.",C/O PHARMACY 10 NO. MAIN ST. WELLSVILLE NY 14895,. WELLSVILLE,14895,ALLEGANY,028751,"July 31, 2028",county wholly in NY-23
,"FILLMORE & FISHER PHARMACY, INC.",10560 RTE. 19 FILLMORE NY 14735,FILLMORE,14735,ALLEGANY,013716,"March 31, 2028",county wholly in NY-23
TOPS,"TOPS MARKETS, LLC",C/O PHARMACY 2401 W. STATE ST. OLEAN NY 14760,. OLEAN,14760,CATTARAUGUS,022350,"March 31, 2028",county wholly in NY-23
WAL-MART PHARMACY,"WAL-MART STORES EAST, LP",C/O PHARMACY DEPARTMENT RTE 417 1869 PLAZA DR. OLEAN NY 14760,. OLEAN,14760,CATTARAUGUS,023338,"April 30, 2028",county wholly in NY-23
,"WORTHY PHARMACY, LLC",202 MAIN ST. OLEAN NY 14760,. OLEAN,14760,CATTARAUGUS,038504,"December 31, 2026",county wholly in NY-23
,GUY PARK PHARMACY LLC,151 GUY PARK AVE AMSTERDAM NY 12010,AMSTERDAM,12010,CATTARAUGUS,038058,"January 31, 2029",county wholly in NY-23
,ELLICOTTVILLE PHARMACY INC.,6133 ROUTE 219 SUITE 1004 ELLICOTTVILLE NY 14731,ELLICOTTVILLE,14731,CATTARAUGUS,017405,"March 31, 2028",county wholly in NY-23
,BARTHOLEMEW'S PHARMACY INC.,2 ELM ST. AT MAIN FRANKLINVILLE NY 14737,FRANKLINVILLE,14737,CATTARAUGUS,009564,"June 30, 2028",county wholly in NY-23
,"VALLEY PHARMACY & MEDICAL SUPPLIES, INC.",31 WEST MAIN ST GOWANDA NY 14070,GOWANDA,14070,CATTARAUGUS,030603,"February 28, 2029",county wholly in NY-23
CVS/PHARMACY #539,"CVS ALBANY, L.L.C.",C/O PHARMACY 415 NORTH UNION STREET OLEAN NY 14760,OLEAN,14760,CATTARAUGUS,012584,"October 31, 2027",county wholly in NY-23
,GENOA HEALTHCARE LLC,1010 WAYNE ST SUITE P OLEAN NY 14760,OLEAN,14760,CATTARAUGUS,041615,"April 30, 2028",county wholly in NY-23
DAN HORN PHARMACY & HEALTH SERVICES,J HORN LLC,111 EAST GREEN STREET OLEAN NY 14760,OLEAN,14760,CATTARAUGUS,041177,"July 31, 2027",county wholly in NY-23
PATIENT'S PHARMACY RANDOLPH,"PATIENT'S PHARMACY, INC.",117 MAIN ST SUITE #3 RANDOLPH NY 14772,RANDOLPH,14772,CATTARAUGUS,042137,"October 31, 2028",county wholly in NY-23
WALGREENS,"WALGREEN EASTERN CO., INC.",CO PHARMACY 3242 ROUTE 39 YORKSHIRE NY 14173,YORKSHIRE,14173,CATTARAUGUS,028493,"July 31, 2028",county wholly in NY-23
MARTIN'S PHARMACY,"TOPS MARKETS, LLC",3955 VINEYARD DR. DUNKIRK NY 14048,. DUNKIRK,14048,CHAUTAUQUA,021550,"March 31, 2028",county wholly in NY-23
WAL-MART,"WAL-MART STORES EAST, LP",C/O PHARMACY 10401 BENNETT RD. FREDONIA NY 14063,. FREDONIA,14063,CHAUTAUQUA,023374,"April 30, 2028",county wholly in NY-23
WATERFRONT PHARMACY,"CHAUTAUQUA CENTER, INC. THE",107 INSTITUTE ST. JAMESTOWN NY 14701,. JAMESTOWN,14701,CHAUTAUQUA,038085,"August 31, 2029",county wholly in NY-23
TOPS,"TOPS MARKETS, LLC",C/O PHARMACY 2000 WASHINGTON ST. JAMESTOWN NY 14701,. JAMESTOWN,14701,CHAUTAUQUA,023231,"March 31, 2028",county wholly in NY-23
,UPMC CHAUTAUQUA AT WCA,C/O PHARMACY 207 FOOTE AVE. JAMESTOWN NY 14701,. JAMESTOWN,14701,CHAUTAUQUA,000820,"February 29, 2028",county wholly in NY-23
WALGREENS,"WALGREEN EASTERN CO., INC.",C/O PHARMACY 10 PROSPECT ST. JAMESTOWN NY 14701,. JAMESTOWN,14701,CHAUTAUQUA,028669,"July 31, 2028",county wholly in NY-23
WAL-MART SUPERCENTER,"WAL-MART STORES EAST, LP",C/O PHARMACY 350 E. FAIRMOUNT AVE. LAKEWOOD NY 14750,. LAKEWOOD,14750,CHAUTAUQUA,023377,"April 30, 2028",county wholly in NY-23
CVS PHARMACY,"CVS ALBANY, L.L.C.",C/O PHARMACY 117 E. MAIN ST. WESTFIELD NY 14787,. WESTFIELD,14787,CHAUTAUQUA,020529,"October 31, 2027",county wholly in NY-23
WATERFRONT PHARMACY,"CHAUTAUQUA CENTER, INC., THE",75 E THIRD ST DUNKIRK NY 14048,DUNKIRK,14048,CHAUTAUQUA,039946,"December 31, 2028",county wholly in NY-23
CVS/PHARMACY,"CVS ALBANY, L.L.C.",C/O PHARMACY 175 EAST FOURTH STREET DUNKIRK NY 14048,DUNKIRK,14048,CHAUTAUQUA,016360,"October 31, 2027",county wholly in NY-23
CVS PHARMACY,"CVS ALBANY, L.L.C.",C/O PHARMACY 10 SOUTHWORK ST FALCONER NY 14733,FALCONER,14733,CHAUTAUQUA,020491,"October 31, 2027",county wholly in NY-23
CONCORD PHARMACY,GGG61 CORP,10220 ROUTE 60 FREDONIA NY 14063-1420,FREDONIA,14063,CHAUTAUQUA,031502,"November 30, 2027",county wholly in NY-23
THE RESOURCE CENTER PHARMACY,CHAUTAUQUA COUNTY CHAPTER NYSARC INC.,C/O PHARMACY 712 WEST 8TH STREET JAMESTOWN NY 14701,JAMESTOWN,14701,CHAUTAUQUA,017294,"October 31, 2028",county wholly in NY-23
CVS PHARMACY #5087,"CVS ALBANY, L.L.C.",C/O PHARMACY 19 SOUTH MAIN ST JAMESTOWN NY 14701,JAMESTOWN,14701,CHAUTAUQUA,020506,"October 31, 2027",county wholly in NY-23
,"PATIENT'S PHARMACY, INC.",707 FAIRMOUNT AVE STE 6 JAMESTOWN NY 14701,JAMESTOWN,14701,CHAUTAUQUA,028570,"September 30, 2028",county wholly in NY-23
,"WEGMAN'S FOOD MARKETS, INC.",C/O PHARMACY 945 FAIRMOUNT AVE JAMESTOWN NY 14701,JAMESTOWN,14701,CHAUTAUQUA,022377,"December 31, 2028",county wholly in NY-23
SHERMAN PHARMACY,SHERMAN AREA PHARMACY INC.,105 WEST MAIN STREET SHERMAN NY 14781,SHERMAN,14781,CHAUTAUQUA,034331,"February 29, 2028",county wholly in NY-23
SOUTH DAYTON PHARMACY,"CHAUTAUQUA CENTER, INC. THE",303 PINE STREET SOUTH DAYTON NY 14138,SOUTH DAYTON,14138,CHAUTAUQUA,041043,"September 30, 2027",county wholly in NY-23
BLITZ PHARMACY,BLITZ PHARMACY INC.,485 MAPLE ST. BIG FLATS NY 14814,. BIG,14814,CHEMUNG,032347,"September 30, 2028",county wholly in NY-23
,ELMIRA PSYCHIATRIC CENTER,C/O PHARMACY 100 WASHINGTON ST. ELMIRA NY 14901,. ELMIRA,14901,CHEMUNG,014317,"August 31, 2028",county wholly in NY-23
,"GEROULD'S PROFESSIONAL PHARMACY, INC.",215 HOFFMAN ST. ELMIRA NY 14905,. ELMIRA,14905,CHEMUNG,013979,"November 30, 2028",county wholly in NY-23
WALGREEN,"WALGREEN EASTERN CO.,INC.",C/O PHARMACY 402 N. MAIN ST. ELMIRA NY 14901,. ELMIRA,14901,CHEMUNG,028787,"July 31, 2028",county wholly in NY-23
,"WEGMAN'S FOOD MARKETS, INC.",C/O PHARMACY 1100 CLEMENS CENTER PKWY. ELMIRA NY 14901,. ELMIRA,14901,CHEMUNG,022816,"December 31, 2028",county wholly in NY-23
WEIS PHARMACY #116,"WEIS MARKETS, INC.",401 N. MAIN ST. ELMIRA NY 14901,. ELMIRA,14901,CHEMUNG,018043,"February 29, 2028",county wholly in NY-23
,"GEROULD'S PROFESSIONAL PHARMACY, INC.",2887 WESTINGHOUSE RD. HORSEHEADS NY 14845,. HORSEHEADS,14845,CHEMUNG,019375,"February 29, 2028",county wholly in NY-23
CVS/PHARMACY #17240,"CVS ALBANY, LLC",930 COUNTY ROAD 64 ELMIRA NY 14903,64 ELMIRA,14903,CHEMUNG,034168,"October 31, 2027",county wholly in NY-23
SAM'S PHARMACY,"SAM'S EAST, INC.",830 COUNTY ROAD 64 ELMIRA NY 14903-9716,64 ELMIRA,14903,CHEMUNG,028015,"April 30, 2028",county wholly in NY-23
WAL-MART PHARMACY,"WAL-MART STORES EAST, LP",C/O PHARMACY DEPARTMENT 1400 COUNTY ROAD 64 HORSEHEADS NY 14845,64 HORSEHEADS,14845,CHEMUNG,023359,"April 30, 2028",county wholly in NY-23
