deletedDate,tradeName,legalName,address,place,zip,county,community,registrationNumber,cd_method,active_community_remaining_in_zip,other_active_pharmacies_in_zip
"September 13, 2023",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 4900 BROADWAY DEPEW NY 14043,DEPEW,14043,ERIE,yes,023880,Census batch geocode + point-in-district,5,VANTIVE US HEALTHCARE LLC
"February 01, 2024",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 119 WEST SECOND ST. ELMIRA NY 14901,. ELMIRA,14901,CHEMUNG,yes,023892,county wholly in NY-23,4,ARNOT OGDEN MEDICAL CENTER; CHEMUNG COUNTY HEALTH CENTER; ST. JOSEPH'S HOSPITAL
"July 23, 2024",CVS/PHARMACY,"CVS ALBANY, L.L.C.",C/O PHARMACY 358 BUFFALO ST. HAMBURG NY 14075,. HAMBURG,14075,ERIE,yes,017683,Census batch geocode + point-in-district,7,
"October 22, 2024",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 811 NORTH MAIN STREET JAMESTOWN NY 14701,JAMESTOWN,14701,CHAUTAUQUA,yes,023946,county wholly in NY-23,8,PHARMACY INNOVATIONS
"February 13, 2025",THE APOTHECARY AT COTTRILL'S,"COTTRILL'S PHARMACY, INC.",4919 ELLICOTT RD. STE. A ORCHARD PARK NY 14127,. ORCHARD PARK,14127,ERIE,yes,038704,Census batch geocode + point-in-district,4,"SPRINGVILLE PHARMACY INFUSION THERAPY, INC."
"June 06, 2025",,"RITE AID OF NEW YORK, INC.",C/O PHARMACY 9 BROAD ST. SALAMANCA NY 14779-1418,. SALAMANCA,14779,CATTARAUGUS,yes,014362,county wholly in NY-23,0,LIONEL R. JOHN HEALTH CENTER
"June 11, 2025",,"RITE AID OF NEW YORK, INC.",C/O PHARMACY 338 W. WASHINGTON ST. BATH NY 14810-1024,. BATH,14810,STEUBEN,yes,023477,county wholly in NY-23,2,"DAVENPORT, IRA, MEMORIAL HOSPITAL INC. (X-REF.)"
"June 16, 2025",,"RITE AID OF NEW YORK, INC.",C/O PHARMACY 963 FAIRMOUNT AVE. WE JAMESTOWN NY 14701-2452,. WE JAMESTOWN,14701,CHAUTAUQUA,yes,019521,county wholly in NY-23,8,PHARMACY INNOVATIONS
"June 16, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 12208 N Y STATE ROUTE 16 P.O. BOX 617 YORKSHIRE NY 14173-0617,YORKSHIRE,14173,CATTARAUGUS,yes,024072,county wholly in NY-23,1,
"June 24, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 209 MT. ZOAR STREET ELMIRA NY 14904,ELMIRA,14904,CHEMUNG,yes,023893,county wholly in NY-23,1,
"July 08, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY S-5999 SOUTH PARK AVE HAMBURG NY 14075,HAMBURG,14075,ERIE,yes,023935,Census batch geocode + point-in-district,7,
"July 10, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 2898 WESTINGHOUSE ROAD SUITE 508 HORSEHEADS NY 14845,HORSEHEADS,14845,CHEMUNG,yes,023942,county wholly in NY-23,2,
"July 14, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 100 CONHOCTON STREET CORNING NY 14830,CORNING,14830,STEUBEN,yes,023874,county wholly in NY-23,2,CORNING HOSPITAL; CORNING HOSPITAL OUTPATIENT PHARMACY
"July 14, 2025",,"RITE AID OF NEW YORK, INC.",C/O PHARMACY 81 WEST MAIN STREET GOWANDA NY 14070,GOWANDA,14070,CATTARAUGUS,yes,018781,county wholly in NY-23,1,
"July 17, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 12983 MAIN RD. AKRON NY 14001,. AKRON,14001,ERIE,yes,023826,Census batch geocode + point-in-district,1,
"July 29, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 8079 NORTH MAIN STREET EDEN NY 14057,EDEN,14057,ERIE,yes,023890,Census batch geocode + point-in-district,0,
"July 29, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 6939 ERIE ROAD DERBY NY 14047,DERBY,14047,ERIE,yes,023882,Census batch geocode + point-in-district,1,
"August 21, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 2144 GRAND CENTRAL AVE. HORSEHEADS NY 14845,. HORSEHEADS,14845,CHEMUNG,yes,023940,county wholly in NY-23,2,
"August 21, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 190 MAIN STREET EAST AURORA NY 14052,EAST AURORA,14052,ERIE,yes,023886,Census batch geocode + point-in-district,2,
"August 22, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 1166 CENTRAL AVENUE DUNKIRK NY 14048,DUNKIRK,14048,CHAUTAUQUA,yes,023885,county wholly in NY-23,3,"BROOKS-TLC HOSPITAL SYSTEM, INC."
"August 22, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 265 NORTH UNION STREET OLEAN NY 14760,OLEAN,14760,CATTARAUGUS,yes,023984,county wholly in NY-23,6,OLEAN GENERAL HOSPITAL
"August 25, 2025",,"RITE AID OF NEW YORK, INC.",C/O PHARMACY 50 SOUTH MAIN STREET JAMESTOWN NY 14701,JAMESTOWN,14701,CHAUTAUQUA,yes,013904,county wholly in NY-23,8,PHARMACY INNOVATIONS
"August 26, 2025",,"RITE AID OF NEW YORK, INC.",C/O PHARMACY 214 CENTRAL AVE. SILVER CREEK NY 14136,. SILVER CREEK,14136,CHAUTAUQUA,yes,019399,county wholly in NY-23,0,
"August 26, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 4060 NORTH BUFFALO STREET ORCHARD PARK NY 14127,ORCHARD PARK,14127,ERIE,yes,023990,Census batch geocode + point-in-district,4,"SPRINGVILLE PHARMACY INFUSION THERAPY, INC."
"September 04, 2025",RITE AID PHARMACY,ECKERD CORPORATION,40 SOUTH ERIE STREET MAYVILLE NY 14757,MAYVILLE,14757,CHAUTAUQUA,yes,023962,county wholly in NY-23,0,
"October 23, 2025",RITE AID PHARMACY,ECKERD CORPORATION,C/O PHARMACY 13090 BROADWAY ALDEN NY 14004,ALDEN,14004,ERIE,yes,023831,Census batch geocode + point-in-district,2,WENDE CORRECTIONAL FACILITY
"October 23, 2025",,"RITE AID OF NEW YORK, INC.",C/O PHARMACY 60 CENTRAL AVENUE LANCASTER NY 14086,LANCASTER,14086,ERIE,yes,021674,Census batch geocode + point-in-district,0,
"December 12, 2025",,"ALFRED PHARMACY, INC.",36 N. MAIN ST. ALFRED NY 14802,. ALFRED,14802,ALLEGANY,yes,019532,county wholly in NY-23,0,
