registrationNumber,type,legalName,tradeName,address,street,place,zip,county,status,dateFirstRegistered,dateRegisteredThrough,deletedDate,successorRegistrationNumber,cd119,cd_method,in_ny23,community
017315,Pharmacy,"1100 KENMORE AVE., INC.",BUFFALO PHARMACIES,1100 KENMORE AVENUE BUFFALO NY 14216,1100 KENMORE AVENUE,BUFFALO,14216,ERIE,Transfer,"November 19, 1981","March 05, 1993","March 05, 1993",021604,26,unmatched address; town wholly in/out of NY-23 (assumed),no,yes
019442,Pharmacy,163 BROADWAY INC.,BROADWAY PRESCRIPTION CENTER,163 BROADWAY BUFFALO NY 14204,163 BROADWAY,BUFFALO,14204,ERIE,Transfer,"May 19, 1987","February 07, 1990","February 07, 1990",020410,26,unmatched address; town wholly in/out of NY-23 (assumed),no,yes
021107,Pharmacy,1717 SHERIDAN DRIVE BAZAAR SUPERMARKET CO.,BELLS PHARMACY,1717 SHERIDAN DR. TONAWANDA NY 14223,1717 SHERIDAN DR,. TONAWANDA,14223,ERIE,Transfer,"October 16, 1991","May 17, 1993","May 17, 1993",021673,,,unknown,yes
020635,Pharmacy,1717 SHERIDAN DRIVE SUPERMARKET CO.,BELLS PHARMACY,1717 SHERIDAN DRIVE TONAWANDA NY 14223,1717 SHERIDAN DRIVE,TONAWANDA,14223,ERIE,Transfer,"October 01, 1990","October 16, 1991","October 16, 1991",021107,,,unknown,yes
016468,Pharmacy,1772 COLVIN PHARMACY INC.,ASK ME PHARMACY OF KENMORE,1770 COLVIN BLVD. KENMORE NY 14223,1770 COLVIN BLVD,. KENMORE,14223,ERIE,Discontinued,"June 26, 1979","November 21, 1991","November 21, 1991",NONE,,,unknown,yes
031932,Pharmacy,"200 BASSETT ROAD OPERATING COMPANY, LLC.",,200 BASSETT ROAD WILLIAMSVILLE NY 14221-2639,200 BASSETT ROAD,WILLIAMSVILLE,14221,ERIE,Not Registered,"August 06, 2013","July 31, 2022",,NONE,,,unknown,no
019807,Wholesaler,2121 MAIN PRESCRIPTION CENTER INC.,,2121 MAIN ST. SUITE 116 BUFFALO NY 14214,2121 MAIN ST,. BUFFALO,14214,ERIE,Discontinued,"April 27, 1988","November 20, 1992","November 20, 1992",NONE,,,unknown,no
014742,Pharmacy,2121 MAIN PRESCRIPTION CENTER INC.,SETON MEDICAL CENTER,2121 MAIN ST. SUITE 110 BUFFALO NY 14214,2121 MAIN ST,. BUFFALO,14214,ERIE,Transfer,"September 27, 1974","June 20, 1991","June 20, 1991",014742,,,unknown,no
020741,Pharmacy,2121 MAIN PRESCRIPTION CENTER INC.,MPC HEALTH CARE SERVICES,2470 WALDEN AVE. BUFFALO NY 14225,2470 WALDEN AVE,. BUFFALO,14225,ERIE,Transfer,"September 28, 1990","March 28, 1994","March 28, 1994",022059,,,unknown,yes
021498,Pharmacy,"2121 MAIN PRESCRIPTION CENTER, INC.",HAMBURG MAIN PRESCRIPTION CENTER,206 LAKE ST. HAMBURG NY 14075,206 LAKE ST,. HAMBURG,14075,ERIE,Discontinued,"December 21, 1992","January 08, 1993","January 08, 1993",NONE,,,unknown,yes
020979,Pharmacy,"2121 MAIN STREET PHARMACY, INC.",,25 GARDENVILLE PARKWAY WEST SENECA NY 14224,25 GARDENVILLE PARKWAY,WEST SENECA,14224,ERIE,Discontinued,"June 20, 1991","May 11, 2018","May 11, 2018",NONE,26,unmatched address; town wholly in/out of NY-23 (assumed),no,yes
019324,Pharmacy,224 HIGHLAND PARKWAY INC.,BUFFALO PHARMACIES,224 HIGHLAND PKWY. BUFFALO NY 14223,224 HIGHLAND PKWY,. BUFFALO,14223,ERIE,Transfer,"December 03, 1986","March 05, 1993","March 05, 1993",021601,,,unknown,yes
016062,Pharmacy,"30 ROCKNE RD., INC.",IVYLEA DRUGS,2446 ELMWOOD AVE KENMORE NY 14217,2446 ELMWOOD AVE,KENMORE,14217,ERIE,Transfer,"February 15, 1978","July 29, 2008","July 29, 2008",028936,,,unknown,yes
019306,Pharmacy,333 SWAN STREET INC.,BUFFALO PHARMACIES,333 SWAN STREET BUFFALO NY 14204,333 SWAN STREET,BUFFALO,14204,ERIE,Transfer,"November 24, 1986","March 05, 1993","March 05, 1993",021602,26,unmatched address; town wholly in/out of NY-23 (assumed),no,yes
031934,Pharmacy,"5775 MAELOU DRIVE OPERATING COMPANY, LLC.",,5775 MAELOU DRIVE HAMBURG NY 14075-7419,5775 MAELOU DRIVE,HAMBURG,14075,ERIE,Discontinued,"August 06, 2013","January 07, 2026","January 07, 2026",NONE,23,Census batch geocode + point-in-district,yes,no
012378,Pharmacy,711 MAPLE ROAD INC.,CVS PHARMACY,"711 MAPLE RD. AMHERST P.O. WILLIAMSVILLE, NY 14221",711 MAPLE RD,". AMHERST P.O. WILLIAMSVILLE,",14221,ERIE,Discontinued,"February 01, 1969","August 25, 1991","August 25, 1991",NONE,,,unknown,yes
042417,Pharmacy,716 PHARMACY INC.,,1807 KENMORE AVE BUFFALO NY 14217,1807 KENMORE AVE,BUFFALO,14217,ERIE,Active,"March 30, 2026","February 28, 2029",,NONE,26,Census batch geocode + point-in-district,no,yes
011868,Pharmacy,815 TONAWANDA ST. CORPORATION,FAY'S LEADER DRUG,801 TONAWANDA ST. BUFFALO NY 14207,801 TONAWANDA ST,. BUFFALO,14207,ERIE,Transfer,"October 02, 1967","April 10, 1998","April 10, 1998",023643,,,unknown,yes
304028,Wholesaler,A.V.P. PHARMACEUTICALS INC.,,8560 MAIN ST. WILLIAMSVILLE NY 14221,8560 MAIN ST,. WILLIAMSVILLE,14221,ERIE,Discontinued,"July 19, 1965","August 31, 1989","August 31, 1989",NONE,,,unknown,no
021686,Wholesaler,ABBOTT LABORATORIES,,C/O SONWIL DISTRIBUTION 200 SONWIL DR. CHEEKTOWAGA NY 14225,SONWIL DISTRIBUTION 200 SONWIL DR,. CHEEKTOWAGA,14225,ERIE,Transfer,"May 06, 1993","March 25, 1998","March 25, 1998",023579,,,unknown,no
023579,Wholesaler,ABBOTT LABORATORIES INC.,,200 SONWIL DR. CHEEKTOWAGA NY 14225,200 SONWIL DR,. CHEEKTOWAGA,14225,ERIE,Discontinued,"March 25, 1998","August 07, 2001","August 07, 2001",NONE,,,unknown,no
030656,Pharmacy,"ABBOTT PHARMACY, INC.",,3038 BAILEY AVE. BUFFALO NY 14215,3038 BAILEY AVE,. BUFFALO,14215,ERIE,Discontinued,"May 26, 2011","November 07, 2019","November 07, 2019",NONE,,,unknown,yes
202209,Wholesaler/Repacker,ABBOTT WELDING SUPPLY CO. INC.,,509 N. FIRST ST. OLEAN NY 14760,509 N. FIRST ST,. OLEAN,14760,CATTARAUGUS,Transfer,"January 01, 1975","September 16, 2014","September 16, 2014",033013,23,county wholly in NY-23,yes,no
023636,Manufacturer,ABRAXIS BIOSCIENCE INC.,ABRAXIS PHARMACEUTICAL PRODUCTS,3159 STALEY RD. GRAND ISLAND NY 14072,3159 STALEY RD,. GRAND ISLAND,14072,ERIE,Transfer,"June 08, 1998","November 04, 2008","November 04, 2008",029146,,,unknown,no
029913,Manufacturer,"ABRAXIS BIOSCIENCE, LLC.",,3159 STALEY RD. GRAND ISLAND NY 14072-2028,3159 STALEY RD,. GRAND ISLAND,14072,ERIE,Discontinued,"March 22, 2010","March 04, 2013","March 04, 2013",NONE,,,unknown,no
015801,Pharmacy,"ACKLEY, W.G. & H.E., ENTERPRISES, INC.",LEROY PHARMACY,2171 FILLMORE AVE. BUFFALO NY 14214,2171 FILLMORE AVE,. BUFFALO,14214,ERIE,Transfer,"April 01, 1977","May 17, 1995","May 17, 1995",022513,,,unknown,yes
029862,Pharmacy,"ADDISON'S APOTHECARY, INC",,36 MAIN ST. ADDISON NY 14801,36 MAIN ST,. ADDISON,14801,STEUBEN,Transfer,"December 09, 2009","August 27, 2024","August 27, 2024",041136,23,county wholly in NY-23,yes,yes
042001,Pharmacy,"ADVANCE PHARMACY, INC.",,546 NIAGARA ST BUFFALO NY 14201,546 NIAGARA ST,BUFFALO,14201,ERIE,Not Active,Not On File,"August 11, 2026","August 11, 2026",NONE,26,Census batch geocode + point-in-district,no,yes
019221,Pharmacy,ADVANCED HOME CARE OF WESTERN NEW YORK,,40 JOHN GLENN DR. SUITE 200 AMHERST NY 14228,40 JOHN GLENN DR,. AMHERST,14228,ERIE,Transfer,"August 29, 1986","October 16, 1995","October 16, 1995",022704,,,unknown,no
023499,Pharmacy,"ADVANCED HOME CARE OF WESTERN NEW YORK, INC.",VNA PHARMACY,901 WASHINGTON ST. BUFFALO NY 14203,901 WASHINGTON ST,. BUFFALO,14203,ERIE,Discontinued,"April 16, 1998","May 28, 1998","May 28, 1998",NONE,,,unknown,no
021872,Pharmacy,"ADVANCED MEDICAL INSTRUMENT AND SUPPLY, INC.",ADVANCED MEDICAL HOME NURSING AND PHARMACY,C/O PHARMACY 3690 SOUTHWESTERN BLVD. ORCHARD PARK NY 14127-1997,3690 SOUTHWESTERN BLVD,. ORCHARD PARK,14127,ERIE,Discontinued,"September 27, 1993","February 12, 1997","February 12, 1997",NONE,,,unknown,no
031638,Wholesaler/Repacker,"AIRGAS USA, LLC",,3650 BROADWAY ST. CHEEKTOWAGA NY 14227,3650 BROADWAY ST,. CHEEKTOWAGA,14227,ERIE,Active,"March 01, 2013","February 29, 2028",,NONE,,,unknown,no
031637,Wholesaler/Repacker,"AIRGAS USA, LLC",,1200 SULLIVAN ST. ELMIRA NY 14901-1610,1200 SULLIVAN ST,. ELMIRA,14901,CHEMUNG,Active,"April 19, 2013","March 31, 2028",,NONE,23,county wholly in NY-23,yes,no
033013,Wholesaler/Repacker,"AIRGAS USA, LLC.",,215 WAYNE ST OLEAN NY 14760,215 WAYNE ST,OLEAN,14760,CATTARAUGUS,Active,"September 16, 2014","August 31, 2029",,NONE,23,county wholly in NY-23,yes,no
027353,Manufacturer,AIRGAS-EAST INC.,,3650 BROADWAY CHEEKTOWGA NY 14227,3650 BROADWAY,CHEEKTOWGA,14227,ERIE,Transfer,"September 19, 2005","March 01, 2013","March 01, 2013",031638,,,unknown,no
027130,Wholesaler/Repacker,AIRGAS-EAST INC.,,2775 BROADWAY CHEEKTOWAGA NY 14227,2775 BROADWAY,CHEEKTOWAGA,14227,ERIE,Not Active,Not On File,"September 15, 2005","September 15, 2005",NONE,,,unknown,no
021508,Wholesaler/Repacker,AIRGAS-EAST INC.,,1200 SULLIVAN ST. ELMIRA NY 14901,1200 SULLIVAN ST,. ELMIRA,14901,CHEMUNG,Transfer,"March 23, 1993","April 19, 2013","April 19, 2013",031637,23,county wholly in NY-23,yes,no
041908,Pharmacy,"AKRON COMMUNITY PHARMACY, INC.",,12983 MAIN RD AKRON NY 14001,12983 MAIN RD,AKRON,14001,ERIE,Active,"October 08, 2025","September 30, 2028",,NONE,23,Census batch geocode + point-in-district,yes,yes
014682,Pharmacy,"ALBANO, RICHARD A.","PARK PHARMACY, THE",THE PARK PHARMACY 4 W. MAIN ST. FREDONIA NY 14063,THE PARK PHARMACY 4 W. MAIN ST,. FREDONIA,14063,CHAUTAUQUA,Discontinued,"June 27, 1974","December 27, 1991","December 27, 1991",NONE,23,county wholly in NY-23,yes,yes
018705,Pharmacy,ALDEN PHARMACY INC.,,13203 BROADWAY ALDEN NY 14004,13203 BROADWAY,ALDEN,14004,ERIE,Transfer,"July 16, 1985","March 31, 2023","March 31, 2023",040114,23,Census batch geocode + point-in-district,yes,yes
019532,Pharmacy,"ALFRED PHARMACY, INC.",,36 N. MAIN ST. ALFRED NY 14802,36 N. MAIN ST,. ALFRED,14802,ALLEGANY,Discontinued,"September 01, 1987","December 12, 2025","December 12, 2025",NONE,23,county wholly in NY-23,yes,yes
023137,Pharmacy,"ALLEN, ANDREW R.",BEAVER PHARMACY,BEAVER PHARMACY 7 MAIN ST. CANISTEO NY 14823,BEAVER PHARMACY 7 MAIN ST,. CANISTEO,14823,STEUBEN,Transfer,"February 10, 1997","June 23, 2017","June 23, 2017",035401,23,county wholly in NY-23,yes,yes
017390,Pharmacy,ALLEN-MACK PHARMACY INC.,,961 PAYNE AVE. NORTH TONAWANDA NY 14120,961 PAYNE AVE,. NORTH TONAWANDA,14120,NIAGARA,Discontinued,"February 24, 1982","May 31, 1995","May 31, 1995",NONE,,,unknown,yes
025358,Wholesaler/Repacker,"ALLIED ORTHOPEDIC APPLIANCES, INC.",ALLIED HEALTHCARE SYSTEMS,512 WEST 3RD STREET SUITE 1 JAMESTOWN NY 14701-4857,512 WEST 3RD STREET,JAMESTOWN,14701,CHAUTAUQUA,Transfer,"August 26, 2002","March 05, 2013","March 05, 2013",031643,23,county wholly in NY-23,yes,no
017080,Pharmacy,"ALLSCRIPT PHARMACY, INC.",,173 HIGH STREET BUFFALO NY 14204,173 HIGH STREET,BUFFALO,14204,ERIE,Discontinued,"May 12, 1981","December 16, 2011","December 16, 2011",NONE,26,unmatched address; town wholly in/out of NY-23 (assumed),no,yes
021076,Pharmacy,ALP FREDDY'S LIMITED PARTNERSHIP,FREDDY'S,2152 DELAWARE AVE. BUFFALO NY 14216,2152 DELAWARE AVE,. BUFFALO,14216,ERIE,Discontinued,"September 24, 1991","January 10, 1994","January 10, 1994",NONE,,,unknown,yes
021378,Pharmacy,ALP FREDDY'S LIMITED PARTNERSHIP,FREDDY'S,4408 MILESTRIP RD. BLASDELL NY 14219,4408 MILESTRIP RD,. BLASDELL,14219,ERIE,Discontinued,"August 19, 1992","September 20, 1993","September 20, 1993",NONE,,,unknown,yes
021079,Pharmacy,ALP FREDDY'S LIMITED PARTNERSHIP,FREDDY'S,1900 MILITARY RD. NIAGARA FALLS NY 14303,1900 MILITARY RD,. NIAGARA FALLS,14303,ERIE,Discontinued,"September 19, 1991","January 10, 1994","January 10, 1994",NONE,,,unknown,yes
021075,Pharmacy,ALP FREDDY'S LIMITED PARTNERSHIP,FREDDY'S,3735 UNION RD. CHEEKTOWAGA NY 14225,3735 UNION RD,. CHEEKTOWAGA,14225,ERIE,Discontinued,"September 24, 1991","September 20, 1993","September 20, 1993",NONE,,,unknown,yes
021074,Pharmacy,ALP FREDDY'S LIMITED PARTNERSHIP,FREDDY'S,3330 SHERIDAN DR. AMHERST NY 14226,3330 SHERIDAN DR,. AMHERST,14226,ERIE,Transfer,"September 24, 1991","January 31, 1994","January 31, 1994",021980,,,unknown,yes
021081,Pharmacy,ALP FREDDY'S LIMITED PARTNERSHIP,FREDDY'S,1900 RIDGE RD. WEST SENECA NY 14224,1900 RIDGE RD,. WEST SENECA,14224,ERIE,Transfer,"September 19, 1991","January 31, 1994","January 31, 1994",021985,,,unknown,yes
021077,Pharmacy,ALP FREDDY'S LIMITED PARTNERSHIP,FREDDY'S,1381 RIDGE RD. ROCHESTER NY 14621,1381 RIDGE RD,. ROCHESTER,14621,ERIE,Discontinued,"September 19, 1991","January 10, 1994","January 10, 1994",NONE,,,unknown,yes
021176,Pharmacy,ALP FREDDY'S LIMITED PARTNERSHIP,FREDDY'S ALP LIMITED PARTNERSHIP,7980 TRANSIT RD. WILLIAMSVILLE NY 14221,7980 TRANSIT RD,. WILLIAMSVILLE,14221,ERIE,Discontinued,"March 12, 1992","September 13, 1993","September 13, 1993",NONE,,,unknown,yes
020628,Pharmacy,"ALTERNATE CARE PHARMACY, INC.",,495 COMMERCE DR. AMHERST NY 14228,495 COMMERCE DR,. AMHERST,14228,ERIE,Transfer,"June 18, 1990","September 17, 1991","September 17, 1991",021104,,,unknown,yes
041954,Pharmacy,"AMANA PHARMACY, INC.",RAHMA PHARMACY,964 BROADWAY ST BUFFALO NY 14212,964 BROADWAY ST,BUFFALO,14212,ERIE,Active,"September 16, 2025","August 31, 2028",,NONE,26,Census batch geocode + point-in-district,no,yes
036622,Pharmacy,"AMBER ENTERPRISES, INC.",AMBER SPECIALTY PHARMACY,520 ELLICOTT ST. SUITE 200 BUFFALO NY 14203,520 ELLICOTT ST,. BUFFALO,14203,ERIE,Discontinued,"March 20, 2019","November 17, 2023","November 17, 2023",NONE,26,geocoded earlier,no,yes
