street,city,county,cd119,in_ny23,method
12983 Main Road,Akron,Erie County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
9062 Erie Road,Angola,Erie County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
153 Prospect Street,Attica,Wyoming County,24,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
338 West Washington Street,Bath,Steuben County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
320 Main Street,Beacon,Dutchess County,18,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1511 Route 22 Suite A,Brewster,Putnam County,17,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1631 Pitkin Avenue,Brooklyn,Kings County,08,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
5224 Fifth Avenue,Brooklyn,Kings County,10,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
845 Abbott Road,Buffalo,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
284 Connecticut Street,Buffalo,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
424 Elmwood Ave,Buffalo,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
350 Niagara Street,Buffalo,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1941 Seneca Street,Buffalo,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
2175 South Park Avenue,Buffalo,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
476 William Street,Buffalo,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
5335 West Genesee St,Camillus,Onondaga County,22,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
9160 Main Street,Clarence,Erie County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
100 Conhocton St,Corning,Steuben County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
6000 Transit Road,Depew,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
6939 Erie Road,Derby,Erie County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
8079 North Main Street,Eden,Erie County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1000 Pennsylvania Avenue,Elmira,Chemung County,23,yes,county wholly in NY-23; Census geocoder no match
3795 East Main Road,Fredonia,Chautauqua County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
81 West Main Street,Gowanda,Cattaraugus County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
2325 Grand Island Blvd,Grand Island,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
140 Pine Street,Hamburg,Erie County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
5999 South Park Avenue,Hamburg,Erie County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
50 East Montauk Highway,Hampton Bays,Suffolk County,01,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
2898 Westinghouse Road,Horseheads,Chemung County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
963 Fairmount Avenue,Jamestown,Chautauqua County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
3987 Lockport Olcott Road,Lockport,Niagara County,24,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
6616 Lincoln Avenue,Lockport,Niagara County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
103 Hawkins Drive,Montgomery,Orange County,18,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
419 Division Street,North Tonawanda,Niagara County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
40 West Main Street,Springville,Erie County,23,yes,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
798 Harlem Road,West Seneca,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
1454 Union Road,West Seneca,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
480 Evans Road,Williamsville,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
5447 Main Street,Williamsville,Erie County,26,no,"Census Bureau geocoder, Public_AR_Current / Current_Current, 119th CD, queried 2026-09-04"
