# Archive status for cited web sources, entry 2026-08-26-acc-independent-expenditure-recycled-materials-act
# Consolidated 2026-08-26 across two Save Page Now passes plus playback verification.
# Method note: transient 000 results during verification were curl timeouts, not absent captures;
# every row below was confirmed either by a 200 on the snapshot fetch or by playback (byte count +
# expected string present). All cited web sources have captures.
url	status	how_confirmed
https://www.americanchemistry.com/chemistry-in-america-industry-innovation-impact/news-trends/press-release/2026/acc-launches-ad-highlighting-rep.-nick-langworthy-s-leadership-on-recycling-and-manufacturing	CAPTURED	playback: 85669 bytes, contains "Langworthy"
https://www.recyclingleadershipcouncil.org/news/introduction-of-the-recycled-materials-attribution-act	CAPTURED	snapshot fetch 200 (retry pass)
https://www.wastedive.com/news/pack-act-recycled-materials-attribution-act-congressional-hearing/826038/	CAPTURED	snapshot fetch 200 (retry pass)
https://www.propublica.org/article/epa-rejects-mass-balance-plastics-recycling-safer-choice	CAPTURED	snapshot fetch 200 (first pass)
https://www.packagingdive.com/news/recycled-materials-attribution-act-congress-chemical-recycling/812178/	CAPTURED	playback: 277172 bytes, contains "Recycled Materials"
https://www.packagingdive.com/news/mass-balance-plastic-packaging-iscc-rms-chemical-recycling/708017/	CAPTURED	playback: 154671 bytes, contains "mass balance"
https://www.eenews.net/articles/bill-would-outlaw-misleading-recycling-content-claims/	CAPTURED	playback: 84173 bytes
https://www.govinfo.gov/content/pkg/BILLS-119hr7502ih/html/BILLS-119hr7502ih.htm	CAPTURED	snapshot fetch 200 (first pass); local copy also in research/sources
https://www.govinfo.gov/bulkdata/BILLSTATUS/119/hr/BILLSTATUS-119hr7502.xml	CAPTURED	snapshot fetch 200 (first pass); local copy also in research/sources
https://clerk.house.gov/xml/lists/MemberData.xml	CAPTURED	playback: 556140 bytes, contains "Langworthy"
