lead_applicant,counties,award_usd
No Results for this county,,N/A
Adirondack Health,Franklin,"81,235.00"
Alice Hyde Medical Center,Franklin Clinton Essex St. Lawrence,"500,000.00"
Bassett Medical Center,Otsego Delaware Herkimer Madison Montgomery Oneida Schoharie,"3,122,644.00"
Canton-Potsdam Hospital,St. Lawrence,"1,059,616.00"
Care Compass Collaborative,Broome Chemung Chenango Cortland Delaware Otsego Schuyler Steuben Tioga Tompkins,"3,350,000.00"
Cayuga Medical Center,Broome Chemung Chenango Cortland Delaware Otsego Schuyler Steuben Tioga Tompkins,"2,859,386.00"
Champlain Valley Physicians Hospital,Clinton Essex Franklin,"1,369,865.00"
Chautauqua Health Network,Chautauqua,"1,838,750.00"
Chenango Health Network,Chenango,"275,896.20"
Clifton Springs Hospital & Clinic,Ontario Seneca,"950,000.00"
Columbia Memorial Hospital,Columbia Greene,"1,775,325.00"
Community Memorial Hospital,Madison Oneida,"1,581,930.00"
Coordinated Behavioral Health Services,Dutchess Orange Putnam Sullivan Ulster,"926,755.00"
East Hill Family Medical,Cayuga,"250,000.00"
Elizabethtown Community Hospital,Essex,"1,000,000.00"
Ellenville Regional Hospital,Ulster,"3,000,000.00"
Ellenville Regional Hospital,Ulster,"500,000.00"
F.F. Thompson Hospital,Ontario,"1,178,100.00"
Fort Drum Regional Health Planning Org,Jefferson Lewis St. Lawrence,"2,482,537.00"
Geneva General Hospital,Ontario,"679,350.00"
Glens Falls Hospital,Warren Washington Essex Hamilton,"1,500,000.00"
Greenport Rescue Squad,Columbia,"312,035.67"
Guthrie Cortland Medical Center,Broome Chemung Chenango Cortland Delaware Otsego Schuyler Steuben Tioga Tompkins,"1,848,105.00"
HealthAlliance of the Hudson Valley,Ulster,"1,070,688.00"
Healthy Alliance Foundation,Schenectady Montgomery,"1,000,000.00"
Hudson Headwaters,Warren Washington Essex Hamilton,"2,999,572.00"
Institute for Family Health,Ulster,"699,350.94"
Jones Memorial Hospital,Allegany,"1,178,100.00"
Lewis County General Hospital,Lewis St. Lawrence Jefferson,"292,688.79"
Madison County Rural Health Council,Madison,"292,500.00"
Margaretville Memorial Hospital,Delaware,"1,000,000.00"
Mohawk Valley Health System,Herkimer Oneida,"1,850,000.00"
Montefiore St. Luke's Cornwall,Orange,"400,000.00"
Nathan Littauer Hospital and Nursing Home,Fulton Montgomery,"1,651,467.00"
Newark-Wayne Community Hospital,Wayne,"3,000,000.00"
Nicholas Noyes Hospital,Livingston,"1,178,100.00"
Northern Dutchess Hospital,Dutchess Ulster Columbia,"224,675.00"
ODA Primary Health Care Network,Sullivan,"2,687,998.00"
Oneida Health,Madison Oneida,"1,030,000.00"
Oswego Hospital,Oswego,"3,050,000.00"
Pivital Public Health Partnership,Ontario Seneca Wayne Yates,"1,000,000.00"
Putnam Hospital,Putnam Ulster,"1,251,694.00"
Refuah Health Center,Sullivan,"3,500,000.00"
Rome Memorial Hospital,Oneida,"599,622.00"
Soldiers and Sailors Memorial Hospital,Yates,"1,178,100.00"
Southern Tier Health Care System,Cattaraugus,"500,000.00"
St. James Hospital,Steuben,"1,178,100.00"
St. Mary's Healthcare,Fulton Montgomery,"500,000.00"
Sun River Health,Dutchess,"1,608,386.00"
The Chautauqua Center,Chautauqua,"1,000,000.00"
The Family Counseling Center of Fulton County,Fulton,"629,786.40"
Trustees of the Masonic Hall & Asylum Fund,Oneida Herkimer,"500,000.00"
United Memorial Medical Center,Genesee,"2,470,000.00"
Upstate Caring Partners,Oneida,"1,477,664.00"
Western New York Rural Area Health Education Center,Wyoming Orleans Genesee,"1,500,000.00"
Westfield Memorial Hospital,Chautauqua,"1,250,000.00"
