pkg,date,body,title,members_listed,langworthy,roster
CHRG-119hhrg58538,"January 15, 2025",full committee,Committee On Oversight,39,present,"Comer, Turner, Foxx, Grothman, Cloud, Palmer, Higgins, Sessions, Biggs, Mace, Fallon, Donalds, Perry, Timmons, Burchett, Greene, Langworthy, Burlison, Crane, Jack, McGuire, Gill, Connolly, Norton, Lynch, Krishnamoorthi, Mfume, Brown, Stansbury, Garcia, Frost, Lee, Crockett, Randall, Subramanyam, Ansari, Bell, Simon, and Min"
CHRG-119hhrg58803,"February 5, 2025",full committee,Rightsizing Government,46,present,"Comer, Jordan, Gosar, Foxx, Grothman, Cloud, Palmer, Higgins, Sessions, Biggs, Mace, Fallon, Donalds, Perry, Timmons, Burchett, Greene, Boebert, Luna, Langworthy, Burlison, Crane, Jack, McGuire, Gill, Connolly, Norton, Lynch, Krishnamoorthi, Khanna, Mfume, Brown, Stansbury, Garcia, Frost, Lee, Casar, Crockett, Randall, Subramanyam, Ansari, Bell, Simon, Min, Pressley, and Tlaib"
CHRG-119hhrg58998,"February 25, 2025",full committee,Accountability Office'S,36,absent,"Comer, Gosar, Foxx, Grothman, Cloud, Higgins, Biggs, Mace, Fallon, Donalds, Perry, Timmons, Burchett, Greene, Burlison, Crane, Jack, McGuire, Gill, Connolly, Norton, Lynch, Khanna, Brown, Stansbury, Garcia, Frost, Lee, Crockett, Subramanyam, Ansari, Bell, Simon, Min, Pressley, and Tlaib"
CHRG-119hhrg59603,"March 5, 2025",full committee,A Hearing With Sanctuary City Mayors,46,present,"Comer, Jordan, Turner, Gosar, Foxx, Grothman, Cloud, Palmer, Higgins, Sessions, Biggs, Mace, Fallon, Donalds, Perry, Timmons, Burchett, Greene, Boebert, Luna, Langworthy, Burlison, Crane, Jack, McGuire, Gill, Connolly, Norton, Lynch, Krishnamoorthi, Khanna, Brown, Stansbury, Garcia, Frost, Lee, Casar, Crockett, Randall, Subramanyam, Ansari, Bell, Simon, Min, Pressley, and Tlaib"
CHRG-119hhrg60027,"April 1, 2025",task force: Task Force On The Declassification Of Federal Secrets,Task Force On The Declassification,12,n/a (not a task force member),"Luna, Mace, Burchett, Boebert, Burlison, Crane, Gill, Garcia, Krishnamoorthi, Lee, Min, and Crockett"
CHRG-119hhrg60029,"April 9, 2025",full committee,Restoring Trust In Fda:,34,absent,"Comer, Gosar, Grothman, Cloud, Palmer, Higgins, Sessions, Biggs, Mace, Fallon, Donalds, Perry, Timmons, Burchett, Greene, Luna, Burlison, McGuire, Gill, Norton, Krishnamoorthi, Khanna, Mfume, Brown, Stansbury, Garcia, Frost, Lee, Crockett, Subramanyam, Bell, Min, Pressley, and Tlaib"
CHRG-119hhrg60449,"May 20, 2025",task force: Task Force On The Declassification Of Federal Secrets,The Jfk Files: Assessing Over 60 Years,7,n/a (not a task force member),"Luna, Mace, Burchett, Burlison, Crane, Garcia, and Lee"
CHRG-119hhrg60682,"June 10, 2025",full committee,Securing Americans' Genetic,33,absent,"Comer, Gosar, Foxx, Grothman, Cloud, Palmer, Higgins, Sessions, Biggs, Perry, Timmons, Burchett, Greene, Luna, Burlison, Crane, McGuire, Gill, Norton, Lynch, Krishnamoorthi, Mfume, Brown, Stansbury, Frost, Lee, Crockett, Randall, Subramanyam, Bell, Min, Pressley, and Tlaib"
CHRG-119hhrg60813,"June 12, 2025",full committee,Sanctuary State Governors,44,present,"Comer, Jordan, Gosar, Foxx, Grothman, Cloud, Palmer, Higgins, Sessions, Biggs, Mace, Fallon, Donalds, Perry, Timmons, Burchett, Greene, Boebert, Luna, Langworthy, Burlison, Crane, Jack, McGuire, Gill, Lynch, Norton, Krishnamoorthi, Khanna, Mfume, Brown, Stansbury, Garcia, Frost, Lee, Casar, Crockett, Subramanyam, Ansari, Bell, Simon, Min, Pressley, and Tlaib"
CHRG-119hhrg60818,"June 5, 2025",full committee,The Federal Government,42,absent,"Mace, Jordan, Turner, Gosar, Foxx, Grothman, Cloud, Palmer, Higgins, Sessions, Biggs, Fallon, Donalds, Perry, Timmons, Burchett, Greene, Boebert, Luna, Burlison, Crane, McGuire, Gill, Norton, Lynch, Krishnamoorthi, Khanna, Mfume, Brown, Stansbury, Garcia, Frost, Lee, Casar, Crockett, Randall, Subramanyam, Ansari, Bell, Simon, Min, and Pressley"
CHRG-119hhrg61718,"September 9, 2025",task force: Task Force On The Declassification Of Federal Secrets,Restoring Public Trust Through,9,n/a (not a task force member),"Luna, Mace, Burchett, Boebert, Burlison, Crane, Gill, Crockett, and Lee"
CHRG-119hhrg61736,"September 18, 2025",full committee,Oversight Of The District Of Columbia,46,present,"Comer, Jordan, Gosar, Foxx, Grothman, Cloud, Palmer, Higgins, Sessions, Biggs, Mace, Fallon, Donalds, Perry, Timmons, Burchett, Greene, Boebert, Luna, Langworthy, Burlison, Crane, Jack, McGuire, Gill, Garcia, Norton, Lynch, Krishnamoorthi, Khanna, Mfume, Brown, Stansbury, Frost, Lee, Casar, Crockett, Randall, Subramanyam, Ansari, Bell, Simon, Min, Walkinshaw, Pressley, and Tlaib"
CHRG-119hhrg62382,"December 17, 2025",full committee,Committee On Oversight And,4,absent,"Comer, Gill, Garcia, and Tlaib"
CHRG-119hhrg62434,"January 7, 2026",full committee,Oversight Of Fraud And Misuse Of,45,present,"Comer, Jordan, Turner, Gosar, Foxx, Grothman, Cloud, Palmer, Higgins, Sessions, Biggs, Mace, Fallon, Donalds, Perry, Timmons, Burchett, Boebert, Luna, Langworthy, Burlison, Crane, Jack, McGuire, Gill, Garcia, Norton, Lynch, Krishnamoorthi, Khanna, Mfume, Stansbury, Frost, Lee, Casar, Crockett, Randall, Subramanyam, Ansari, Bell, Simon, Min, Walkinshaw, Pressley, and Tlaib"
CHRG-119hhrg62608,"January 22, 2026",task force: Task Force On The Declassification Of Federal Secrets,Declassified Mlk Records: What They,6,n/a (not a task force member),"Luna, Mace, Burchett, Burlison, Crockett, and Lee"
CHRG-119hhrg63019,"March 4, 2026",full committee,Oversight Of Fraud And Misuse Of,46,present,"Comer, Jordan, Turner, Gosar, Foxx, Grothman, Cloud, Palmer, Higgins, Sessions, Biggs, Mace, Fallon, Donalds, Perry, Timmons, Burchett, Boebert, Luna, Langworthy, Burlison, Crane, Jack, McGuire, Gill, Garcia, Norton, Lynch, Krishnamoorthi, Khanna, Mfume, Brown, Stansbury, Frost, Lee, Casar, Crockett, Randall, Subramanyam, Ansari, Bell, Simon, Min, Walkinshaw, Pressley, and Tlaib"
CHRG-119hhrg63891,"June 3, 2026",task force: Task Force On Defending Constitutional Rights And Exposing Institutional Abuses,Universal Basic Fraud: Vulnerabilities,9,n/a (not a task force member),"Gill, Comer, Jordan, Biggs, Donalds, Jack, Simon, Walkinshaw, and Pressley"
CHRG-119hhrg63956,"June 9, 2026",task force: Task Force On Defending Constitutional Rights And Exposing Institutional Abuses,Amnesty And Chaos:,8,n/a (not a task force member),"Gill, Cloud, Biggs, Jack, Simon, Min, Walkinshaw, and Pressley"
CHRG-119hhrg64141,"June 30, 2026",task force: Task Force On The Declassification Of Federal Secrets,Mind Control And Accountability:,6,n/a (not a task force member),"Luna, Mace, Burchett, Boebert, Burlison, and Crane"
CHRG-119hhrg64224,"July 14, 2026",task force: Task Force On Defending Constitutional Rights And Exposing Institutional Abuses,Combating Dei In American Institutions,7,n/a (not a task force member),"Gill, Donalds, Jack, Simon, Min, Walkinshaw, and Pressley"
CHRG-119hhrg64273,"July 22, 2026",task force: Task Force On Defending Constitutional Rights And Exposing Institutional Abuses,The Future Of Dei,7,n/a (not a task force member),"Gill, Jordan, Cloud, Jack, Simon, Min, and Walkinshaw"
