date,event_id,event_kind,event_title,sheet,vote_no,question,langworthy,ayes,nays,parse_check
2025-01-14,117774,organizational meeting,Full Committee Organizational Meeting of the House Committee on Oversight and Government Reform,https://docs.house.gov/meetings/GO/GO00/20250114/117774/CRPT-119-GO00-Vote001-20250114.pdf,1,Motion to Table the Motion by Mr. Frost,Aye,22,17,ok
2025-01-14,117774,organizational meeting,Full Committee Organizational Meeting of the House Committee on Oversight and Government Reform,https://docs.house.gov/meetings/GO/GO00/20250114/117774/CRPT-119-GO00-Vote002-20250114.pdf,2,Motion to Structure Debate to 15 Minutes by Mr. Donalds,Aye,23,16,ok
2025-01-14,117774,organizational meeting,Full Committee Organizational Meeting of the House Committee on Oversight and Government Reform,https://docs.house.gov/meetings/GO/GO00/20250114/117774/CRPT-119-GO00-Vote003-20250114.pdf,3,Connolly Amendment to the Oversight Committee Rules,No,16,24,ok
2025-01-14,117774,organizational meeting,Full Committee Organizational Meeting of the House Committee on Oversight and Government Reform,https://docs.house.gov/meetings/GO/GO00/20250114/117774/CRPT-119-GO00-Vote004-20250114.pdf,4,Mfume Amendment to the Oversight Committee Rules,No,16,25,ok
2025-01-14,117774,organizational meeting,Full Committee Organizational Meeting of the House Committee on Oversight and Government Reform,https://docs.house.gov/meetings/GO/GO00/20250114/117774/CRPT-119-GO00-Vote005-20250114.pdf,5,Stansbury Amendment to the Oversight Committee Rules,No,16,25,ok
2025-01-14,117774,organizational meeting,Full Committee Organizational Meeting of the House Committee on Oversight and Government Reform,https://docs.house.gov/meetings/GO/GO00/20250114/117774/CRPT-119-GO00-Vote006-20250114.pdf,6,Garcia Amendment to the Oversight Committee Rules,No,16,25,ok
2025-01-14,117774,organizational meeting,Full Committee Organizational Meeting of the House Committee on Oversight and Government Reform,https://docs.house.gov/meetings/GO/GO00/20250114/117774/CRPT-119-GO00-Vote007-20250114.pdf,7,Crockett Amendment to the Oversight Committee Rules,No,16,25,ok
2025-01-14,117774,organizational meeting,Full Committee Organizational Meeting of the House Committee on Oversight and Government Reform,https://docs.house.gov/meetings/GO/GO00/20250114/117774/CRPT-119-GO00-Vote008-20250114.pdf,8,Adoption of the Oversight Committee Rules,Aye,25,16,ok
2025-01-15,117775,hearing,“The Stay-at-Home Federal Workforce: Another Biden-Harris Legacy”,,,,(no recorded votes at this event),,,
2025-02-05,117856,hearing,“Rightsizing Government”,https://docs.house.gov/meetings/GO/GO00/20250205/117856/CRPT-119-GO00-Vote001-20250205.pdf,1,Motion to Table Motion to Subpoena Elon Musk,Not voting,20,19,MISMATCH
2025-02-25,117954,markup,Markup of the Full Committee to Consider the Following: 1) Authorization & Oversight Plan of the Committee on Oversight and Government Reform,https://docs.house.gov/meetings/GO/GO00/20250225/117954/CRPT-119-GO00-Vote001-20250225.pdf,1,Motion to Table RM Connolly’s Motion to Appeal the Ruling of the Chair,Not voting,20,19,ok
2025-02-25,117954,markup,Markup of the Full Committee to Consider the Following: 1) Authorization & Oversight Plan of the Committee on Oversight and Government Reform,https://docs.house.gov/meetings/GO/GO00/20250225/117954/CRPT-119-GO00-Vote002-20250225.pdf,2,Motion to Move the Previous Question,Not voting,20,19,ok
2025-02-25,117954,markup,Markup of the Full Committee to Consider the Following: 1) Authorization & Oversight Plan of the Committee on Oversight and Government Reform,https://docs.house.gov/meetings/GO/GO00/20250225/117954/CRPT-119-GO00-Vote003-20250225.pdf,3,Comer ANS to 119th OGR Authorization and Oversight Plan,Aye,22,17,ok
2025-02-25,117954,markup,Markup of the Full Committee to Consider the Following: 1) Authorization & Oversight Plan of the Committee on Oversight and Government Reform,https://docs.house.gov/meetings/GO/GO00/20250225/117954/CRPT-119-GO00-Vote004-20250225.pdf,4,Final Passage - OGR Authorization and Oversight Plan,Aye,22,18,ok
2025-02-25,117922,hearing,The Government Accountability Office’s 2025 High Risk List,,,,(no recorded votes at this event),,,
2025-03-05,117980,hearing,“A Hearing with Sanctuary City Mayors”,,,,(no recorded votes at this event),,,
2025-03-25,118060,markup,"Markup of the Full Committee to Consider the Following: 1) H.R. 1295, the Reorganizing Government Act of 2025; 2) H.R. 1210, the Protecting Taxpayers’ Wallet Ac",https://docs.house.gov/meetings/GO/GO00/20250325/118060/CRPT-119-GO00-Vote001-20250325.pdf,1,Connolly Amendment to the ANS to H.R. 1295,Not voting,20,23,ok
2025-03-25,118060,markup,"Markup of the Full Committee to Consider the Following: 1) H.R. 1295, the Reorganizing Government Act of 2025; 2) H.R. 1210, the Protecting Taxpayers’ Wallet Ac",https://docs.house.gov/meetings/GO/GO00/20250325/118060/CRPT-119-GO00-Vote002-20250325.pdf,2,Brown Amendment to the ANS to H.R. 1295,Not voting,20,23,ok
2025-03-25,118060,markup,"Markup of the Full Committee to Consider the Following: 1) H.R. 1295, the Reorganizing Government Act of 2025; 2) H.R. 1210, the Protecting Taxpayers’ Wallet Ac",https://docs.house.gov/meetings/GO/GO00/20250325/118060/CRPT-119-GO00-Vote003-20250325.pdf,3,Randall Amendment to the ANS to H.R. 1295,Not voting,20,23,ok
2025-03-25,118060,markup,"Markup of the Full Committee to Consider the Following: 1) H.R. 1295, the Reorganizing Government Act of 2025; 2) H.R. 1210, the Protecting Taxpayers’ Wallet Ac",https://docs.house.gov/meetings/GO/GO00/20250325/118060/CRPT-119-GO00-Vote004-20250325.pdf,4,Ansari Amendment to the ANS to H.R. 1295,Not voting,20,23,ok
2025-03-25,118060,markup,"Markup of the Full Committee to Consider the Following: 1) H.R. 1295, the Reorganizing Government Act of 2025; 2) H.R. 1210, the Protecting Taxpayers’ Wallet Ac",https://docs.house.gov/meetings/GO/GO00/20250325/118060/CRPT-119-GO00-Vote005-20250325.pdf,5,Subramanyam Amendment to the ANS to H.R. 1295,Not voting,20,23,ok
2025-03-25,118060,markup,"Markup of the Full Committee to Consider the Following: 1) H.R. 1295, the Reorganizing Government Act of 2025; 2) H.R. 1210, the Protecting Taxpayers’ Wallet Ac",https://docs.house.gov/meetings/GO/GO00/20250325/118060/CRPT-119-GO00-Vote006-20250325.pdf,6,Bell Amendment to the ANS to H.R. 1295,Not voting,20,23,ok
2025-03-25,118060,markup,"Markup of the Full Committee to Consider the Following: 1) H.R. 1295, the Reorganizing Government Act of 2025; 2) H.R. 1210, the Protecting Taxpayers’ Wallet Ac",https://docs.house.gov/meetings/GO/GO00/20250325/118060/CRPT-119-GO00-Vote007-20250325.pdf,7,Simon Amendment to the ANS to H.R. 1295,Not voting,20,23,ok
2025-03-25,118060,markup,"Markup of the Full Committee to Consider the Following: 1) H.R. 1295, the Reorganizing Government Act of 2025; 2) H.R. 1210, the Protecting Taxpayers’ Wallet Ac",https://docs.house.gov/meetings/GO/GO00/20250325/118060/CRPT-119-GO00-Vote008-20250325.pdf,8,Pressley Amendment to the ANS to H.R. 1295,Not voting,20,23,ok
2025-03-25,118060,markup,"Markup of the Full Committee to Consider the Following: 1) H.R. 1295, the Reorganizing Government Act of 2025; 2) H.R. 1210, the Protecting Taxpayers’ Wallet Ac",https://docs.house.gov/meetings/GO/GO00/20250325/118060/CRPT-119-GO00-Vote009-20250325.pdf,9,"Final Passage - H.R. 1295, the Reorganizing Government Act of 2025",Not voting,23,20,ok
2025-03-25,118060,markup,"Markup of the Full Committee to Consider the Following: 1) H.R. 1295, the Reorganizing Government Act of 2025; 2) H.R. 1210, the Protecting Taxpayers’ Wallet Ac",https://docs.house.gov/meetings/GO/GO00/20250325/118060/CRPT-119-GO00-Vote010-20250325.pdf,10,Stansbury Amendment to the ANS to H.R. 1210,Not voting,21,23,ok
2025-03-25,118060,markup,"Markup of the Full Committee to Consider the Following: 1) H.R. 1295, the Reorganizing Government Act of 2025; 2) H.R. 1210, the Protecting Taxpayers’ Wallet Ac",https://docs.house.gov/meetings/GO/GO00/20250325/118060/CRPT-119-GO00-Vote011-20250325.pdf,11,Perry Amendment #1 to Biggs Amendment to the ANS to H.R. 1210,Not voting,18,26,ok
2025-03-25,118060,markup,"Markup of the Full Committee to Consider the Following: 1) H.R. 1295, the Reorganizing Government Act of 2025; 2) H.R. 1210, the Protecting Taxpayers’ Wallet Ac",https://docs.house.gov/meetings/GO/GO00/20250325/118060/CRPT-119-GO00-Vote012-20250325.pdf,12,Perry Amendment #2 to Biggs Amendment to the ANS to H.R. 1210,Not voting,17,27,ok
2025-03-25,118060,markup,"Markup of the Full Committee to Consider the Following: 1) H.R. 1295, the Reorganizing Government Act of 2025; 2) H.R. 1210, the Protecting Taxpayers’ Wallet Ac",https://docs.house.gov/meetings/GO/GO00/20250325/118060/CRPT-119-GO00-Vote013-20250325.pdf,13,Perry Amendment #3 to Biggs Amendment to the ANS to H.R. 1210,Not voting,17,27,ok
