piid,agency,vendor,value,description_doge,fpds_status,fpds_link,deleted_date,savings,award_agency,award_procurement_id,award_modification_num,ref_idv_agency,ref_idv_procurement_id,ref_idv_modification_num,date_signed,date_effective,date_complete,date_ult_complete_est,date_solicitation,amount_obligated,amount_obligated_total,amount_base_exercised_options,amount_base_exercised_options_total,amount_ultimate,amount_ultimate_total,entity_id,entity_name,entity_dba,cage_code,entity_street,entity_street_2,entity_city,entity_state,entity_zip,entity_county,entity_county_disp,entity_phone,entity_fax,entity_congressional_district,product_service_code,product_service_desc,principal_naics_code,principal_naics_desc,performance_state,performance_location,performance_country,performance_county,performance_city,performance_congressional_district,performance_zip,performance_zip_ext,requirement_desc,dt_scrape
36C77623N0888,Department of Veterans Affairs,"J P SYSTEMS, INC.",33753802.0,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES TERMINOLOGY STANDARDS SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C77623N0888&modNumber=P00003&idvAgencyID=&idvPIID=36C77621D0020&contractType=AWARD,3/28/2025,17289930.0,3600,36C77623N0888,P00003,3600,36C77621D0020,0,03/05/2025,09/20/2023,03/05/2025,03/05/2025,07/06/2023,0.0,16463872.2,0.0,16463872.2,0.0,33753801.84,PX35YDEXGEJ5,"J P SYSTEMS, INC.",,3YHH1,7419 KINCHELOE RD,,CLIFTON,VA,201241831,USA,UNITED STATES,(703) 864-9247,(888) 789-8990,VIRGINIA 10,R499,SUPPORT- PROFESSIONAL: OTHER,541690.0,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,VA,,USA,FAIRFAX,CLIFTON,,20124,1831.0,,2025-04-04-0017
36C26024N0432,Department of Veterans Affairs,"STAFFORD CONSULTING COMPANY, INC.",431345.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C26024N0432&modNumber=P00001&idvAgencyID=&idvPIID=36C26019A0031&contractType=AWARD,3/27/2025,0.0,3600,36C26024N0432,P00001,3600,36C26019A0031,P00010,03/26/2025,09/15/2024,02/25/2025,02/25/2025,08/27/2024,-634101.82,431344.58,-634101.82,431344.58,-634101.82,431344.58,GMQFM999K2E5,"STAFFORD CONSULTING COMPANY, INC.",,6JNW1,1765 GREENSBORO STATION PL,STE 900,MC LEAN,VA,221023470,USA,UNITED STATES,(301) 502-8967,(256) 325-0418,VIRGINIA 11,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,WA,,USA,CLARK,VANCOUVER,,98661,5160.0,,2025-04-04-0017
36C10X23N0128,Department of Veterans Affairs,"INFORMATION SCIENCES CONSULTING, INCORPORATED",7440274.0,MEDICAL SUPPLY LABORATORY TECHNICIANS,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C10X23N0128&modNumber=P00005&idvAgencyID=&idvPIID=36C10X18D0011&contractType=AWARD,3/27/2025,2539370.0,3600,36C10X23N0128,P00005,3600,36C10X18D0011,0,03/18/2025,08/30/2023,03/18/2025,03/18/2025,07/18/2023,0.0,4900904.13,0.0,4900904.13,0.0,7440273.89,DMNJHUPKNTA1,"INFORMATION SCIENCES CONSULTING, INCORPORATED",ISCI,1TGA9,10432 BALLS FORD RD STE 300,,MANASSAS,VA,201092517,USA,UNITED STATES,(703) 581-7253,(571) 461-1979,VIRGINIA 10,R499,SUPPORT- PROFESSIONAL: OTHER,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,MO,,USA,BOONE,COLUMBIA,,65201,5297.0,,2025-04-04-0017
36C26024N0402,Department of Veterans Affairs,"STAFFORD CONSULTING COMPANY, INC.",63723.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C26024N0402&modNumber=P00002&idvAgencyID=&idvPIID=36C26019A0031&contractType=AWARD,3/27/2025,0.0,3600,36C26024N0402,P00002,3600,36C26019A0031,P00010,03/26/2025,09/23/2024,02/25/2025,02/25/2025,08/14/2024,-171611.56,63722.84,-171611.56,63722.84,-171611.56,63722.84,GMQFM999K2E5,"STAFFORD CONSULTING COMPANY, INC.",,6JNW1,1765 GREENSBORO STATION PL,STE 900,MC LEAN,VA,221023470,USA,UNITED STATES,(301) 502-8967,(256) 325-0418,VIRGINIA 11,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,WA,,USA,CLARK,VANCOUVER,,98661,5160.0,,2025-04-04-0017
36C26024N0416,Department of Veterans Affairs,"STAFFORD CONSULTING COMPANY, INC.",324394.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C26024N0416&modNumber=P00002&idvAgencyID=&idvPIID=36C26019A0031&contractType=AWARD,3/27/2025,0.0,3600,36C26024N0416,P00002,3600,36C26019A0031,P00010,03/26/2025,09/29/2024,02/25/2025,02/25/2025,08/19/2024,-435362.91,324393.89,-435362.91,324393.89,-435362.91,324393.89,GMQFM999K2E5,"STAFFORD CONSULTING COMPANY, INC.",,6JNW1,1765 GREENSBORO STATION PL,STE 900,MC LEAN,VA,221023470,USA,UNITED STATES,(301) 502-8967,(256) 325-0418,VIRGINIA 11,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,WA,,USA,CLARK,VANCOUVER,,98661,5160.0,,2025-04-04-0017
36C26024N0458,Department of Veterans Affairs,"STAFFORD CONSULTING COMPANY, INC.",22443.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C26024N0458&modNumber=P00002&idvAgencyID=&idvPIID=36C26019A0031&contractType=AWARD,3/27/2025,0.0,3600,36C26024N0458,P00002,3600,36C26019A0031,P00010,03/26/2025,09/28/2024,02/25/2025,02/25/2025,09/16/2024,-552932.04,22443.11,-552932.04,22443.11,-552932.04,22443.11,GMQFM999K2E5,"STAFFORD CONSULTING COMPANY, INC.",,6JNW1,1765 GREENSBORO STATION PL,STE 900,MC LEAN,VA,221023470,USA,UNITED STATES,(301) 502-8967,(256) 325-0418,VIRGINIA 11,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,WA,,USA,CLARK,VANCOUVER,,98661,5160.0,,2025-04-04-0017
36C26024N0414,Department of Veterans Affairs,"STAFFORD CONSULTING COMPANY, INC.",537058.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C26024N0414&modNumber=P00001&idvAgencyID=&idvPIID=36C26019A0031&contractType=AWARD,3/27/2025,0.0,3600,36C26024N0414,P00001,3600,36C26019A0031,P00010,03/26/2025,09/28/2024,02/25/2025,02/25/2025,08/19/2024,-879220.61,537057.79,-879220.61,537057.79,-879220.61,537057.79,GMQFM999K2E5,"STAFFORD CONSULTING COMPANY, INC.",,6JNW1,1765 GREENSBORO STATION PL,STE 900,MC LEAN,VA,221023470,USA,UNITED STATES,(301) 502-8967,(256) 325-0418,VIRGINIA 11,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,WA,,USA,CLARK,VANCOUVER,,98661,5160.0,,2025-04-04-0017
36C26024N0415,Department of Veterans Affairs,"STAFFORD CONSULTING COMPANY, INC.",623302.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C26024N0415&modNumber=P00001&idvAgencyID=&idvPIID=36C26019A0031&contractType=AWARD,3/27/2025,0.0,3600,36C26024N0415,P00001,3600,36C26019A0031,P00010,03/26/2025,09/28/2024,02/25/2025,02/25/2025,08/19/2024,-616010.44,623301.56,-616010.44,623301.56,-616010.44,623301.56,GMQFM999K2E5,"STAFFORD CONSULTING COMPANY, INC.",,6JNW1,1765 GREENSBORO STATION PL,STE 900,MC LEAN,VA,221023470,USA,UNITED STATES,(301) 502-8967,(256) 325-0418,VIRGINIA 11,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,WA,,USA,CLARK,VANCOUVER,,98661,5160.0,,2025-04-04-0017
36C26024N0429,Department of Veterans Affairs,"STAFFORD CONSULTING COMPANY, INC.",110415.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C26024N0429&modNumber=P00001&idvAgencyID=&idvPIID=36C26019A0031&contractType=AWARD,3/27/2025,0.0,3600,36C26024N0429,P00001,3600,36C26019A0031,P00010,03/26/2025,09/04/2024,03/04/2025,03/04/2025,08/27/2024,-260279.64,110414.76,-260279.64,110414.76,-260279.64,110414.76,GMQFM999K2E5,"STAFFORD CONSULTING COMPANY, INC.",,6JNW1,1765 GREENSBORO STATION PL,STE 900,MC LEAN,VA,221023470,USA,UNITED STATES,(301) 502-8967,(256) 325-0418,VIRGINIA 11,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,WA,,USA,CLARK,VANCOUVER,,98661,5160.0,,2025-04-04-0017
36C26024N0413,Department of Veterans Affairs,"STAFFORD CONSULTING COMPANY, INC.",61652.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C26024N0413&modNumber=P00001&idvAgencyID=&idvPIID=36C26019A0031&contractType=AWARD,3/27/2025,0.0,3600,36C26024N0413,P00001,3600,36C26019A0031,P00010,03/26/2025,09/05/2024,03/04/2025,03/04/2025,08/19/2024,-314793.25,61651.55,-314793.25,61651.55,-314793.25,61651.55,GMQFM999K2E5,"STAFFORD CONSULTING COMPANY, INC.",,6JNW1,1765 GREENSBORO STATION PL,STE 900,MC LEAN,VA,221023470,USA,UNITED STATES,(301) 502-8967,(256) 325-0418,VIRGINIA 11,R707,SUPPORT- MANAGEMENT: CONTRACT/PROCUREMENT/ACQUISITION SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,WA,,USA,CLARK,VANCOUVER,,98661,5160.0,,2025-04-04-0017
36C24E23P0075,Department of Veterans Affairs,"LOPARO CONSULTING, LLC",125000.0,RESEARCH CONSULTING SERVICES FOR PARKINSON'S DISEASE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C24E23P0075&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,3/26/2025,75000.0,3600,36C24E23P0075,P00002,,,,03/10/2025,06/01/2023,03/05/2025,03/05/2025,04/04/2023,0.0,50000.0,0.0,50000.0,0.0,125000.0,P4K1BFRAYL46,"LOPARO CONSULTING, LLC",,9KPC7,12310 CAVES RD,,CHESTERLAND,OH,440262110,USA,UNITED STATES,(440) 487-4746,,OHIO 14,AN22,HEALTH R&D SERVICES; HEALTH RESEARCH AND TRAINING; APPLIED RESEARCH,541690.0,OTHER SCIENTIFIC AND TECHNICAL CONSULTING SERVICES,OH,,USA,CUYAHOGA,CLEVELAND,,44106,2369.0,,2025-04-04-0017
36C26222P1325,Department of Veterans Affairs,"RESPONSE SYSTEMS, INC.",264781.0,FULL BUILDING EVACUATION PLANNING AND TRAINING FOR THE VA GREATER LOS ANGELES HEALTH CARE SYSTEM.,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C26222P1325&modNumber=P00003&idvAgencyID=&idvPIID=&contractType=AWARD,3/26/2025,90630.0,3600,36C26222P1325,P00003,,,,03/05/2025,07/01/2022,03/04/2025,03/04/2025,05/13/2022,0.0,174151.4,0.0,174151.4,0.0,264780.9,K32GQJF3AHJ7,"RESPONSE SYSTEMS, INC.",,5GG66,S26 W35185 WOODSTREAM CT,,OCONOMOWOC,WI,530668789,USA,UNITED STATES,(262) 965-2436,(262) 965-2436,WISCONSIN 17,R429,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,CA,,USA,LOS ANGELES,LOS ANGELES,,90073,1003.0,,2025-04-04-0017
36C24424N1054,Department of Veterans Affairs,"CONCOURSE FEDERAL GROUP, LLC",193238.0,VAPHS CONSTRUCTION MANAGEMENT AND INTERIOR DESIGN SUPPORT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C24424N1054&modNumber=P00001&idvAgencyID=&idvPIID=36C24419A0041&contractType=AWARD,3/26/2025,0.0,3600,36C24424N1054,P00001,3600,36C24419A0041,P00001,03/25/2025,09/05/2024,03/25/2025,03/25/2025,08/20/2024,-128454.47,193238.29,-128454.47,193238.29,-128454.47,193238.29,KD6WCU5JHKW5,"CONCOURSE FEDERAL GROUP, LLC",,5HAY6,123 S ROYAL ST,,ALEXANDRIA,VA,223143327,USA,UNITED STATES,(703) 945-4208,(410) 267-7406,VIRGINIA 09,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,PA,,USA,ALLEGHENY,PITTSBURGH,,15215,1802.0,,2025-04-04-0017
36C25723P0334,Department of Veterans Affairs,PRESS GANEY ASSOCIATES LLC,69091.0,PATIENT SATIFIACTION SURVEY (BASE PLUS FOUR),TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C25723P0334&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,3/26/2025,0.0,3600,36C25723P0334,P00002,,,,03/25/2025,06/09/2023,02/28/2025,02/28/2025,05/19/2023,-6281.1,69090.9,-6281.1,69090.9,-119339.1,69090.9,PTAKRVGUJE53,PRESS GANEY ASSOCIATES LLC,,3DFC7,1173 IGNITION DR,,SOUTH BEND,IN,466012901,USA,UNITED STATES,(800) 232-8032,,INDIANA 02,R499,SUPPORT- PROFESSIONAL: OTHER,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,IN,,USA,ST JOSEPH,SOUTH BEND,,46601,1533.0,,2025-04-04-0017
36C25724P0250,Department of Veterans Affairs,"SANFORD FEDERAL, INC.",914659.0,GAS MANAGEMENT SERVICES,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C25724P0250&modNumber=P00002&idvAgencyID=&idvPIID=&contractType=AWARD,3/26/2025,699150.0,3600,36C25724P0250,P00002,,,,03/25/2025,04/02/2024,03/04/2025,03/04/2025,03/19/2024,-250591.39,215508.61,-250591.39,215508.61,-250591.39,914658.61,RBCJDAS355L9,"SANFORD FEDERAL, INC.",,87DG6,525 CORPORATE DR STE 203,,STAFFORD,VA,225544890,USA,UNITED STATES,(571) 552-0502,,VIRGINIA 07,Q999,MEDICAL- OTHER,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TX,,USA,BELL,TEMPLE,,76504,5129.0,,2025-04-04-0017
36C26124N0818,Department of Veterans Affairs,PLANATE MANAGEMENT GROUP LLC,175000.0,AGENCY SPECIFIC REQUIREMENTS PACKAGE DEVELOPMENT FOR LEASE PROCUREMENTS FUNDING T/O FOR ORDERING PERIOD THREE.,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C26124N0818&modNumber=P00001&idvAgencyID=&idvPIID=36C26121A0032&contractType=AWARD,3/26/2025,60186.0,3600,36C26124N0818,P00001,3600,36C26121A0032,0,03/25/2025,08/13/2024,08/12/2025,08/12/2025,07/10/2021,-60186.09,114813.91,0.0,175000.0,0.0,175000.0,ZL3LH37LF183,PLANATE MANAGEMENT GROUP LLC,,4XZF6,1800 DIAGONAL RD STE 600,,ALEXANDRIA,VA,223142840,USA,UNITED STATES,(703) 232-1491,(866) 844-4373,VIRGINIA 08,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,CA,,USA,SACRAMENTO,MATHER,,95655,4200.0,,2025-04-04-0017
36C26222C0047,Department of Veterans Affairs,PRESS GANEY ASSOCIATES LLC,690676.0,PATIENT SURVEY EXPERIENCE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C26222C0047&modNumber=P00005&idvAgencyID=&idvPIID=&contractType=AWARD,3/26/2025,0.0,3600,36C26222C0047,P00005,,,,03/25/2025,02/01/2022,03/04/2025,03/04/2025,12/10/2021,-209849.62,690676.1,-209849.62,690676.1,-439481.05,690676.1,PTAKRVGUJE53,PRESS GANEY ASSOCIATES LLC,,3DFC7,404 COLUMBIA PL,,SOUTH BEND,IN,466012315,USA,UNITED STATES,(800) 232-8032,,INDIANA 02,J066,MAINT/REPAIR/REBUILD OF EQUIPMENT- INSTRUMENTS AND LABORATORY EQUIPMENT,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,CA,,USA,SAN BERNARDINO,LOMA LINDA,,92357,1.0,,2025-04-04-0017
36C26023F0388,Department of Veterans Affairs,PRESS GANEY ASSOCIATES LLC,139552.0,PATIENT SATISFACTION SURVEY SERVICE,TERMINATED,https://www.fpds.gov/ezsearch/jsp/viewLinkController.jsp?agencyID=3600&PIID=36C26023F0388&modNumber=P00005&idvAgencyID=&idvPIID=GS10F0205R&contractType=AWARD,3/26/2025,0.0,3600,36C26023F0388,P00005,4730,GS10F0205R,PA0064,03/25/2025,08/19/2023,03/04/2025,03/04/2025,06/06/2023,-70999.45,139552.07,-70999.45,139552.07,-243198.23,139552.07,PTAKRVGUJE53,PRESS GANEY ASSOCIATES LLC,,3DFC7,1173 IGNITION DR,,SOUTH BEND,IN,466012901,USA,UNITED STATES,(800) 232-8032,,INDIANA 02,R499,SUPPORT- PROFESSIONAL: OTHER,541611.0,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,OR,,USA,MULTNOMAH,PORTLAND,,97239,2964.0,,2025-04-04-0017
