piid,mod,signed,effective,completion,obligated,total_obligated,total_base_all,contracting_office,funding_office,pop_state,pop_city,pop_county,pop_zip,pop_cd,vendor,vendor_state,psc,psc_desc,naics,naics_desc,description,initiative,action_type
36C25022C0187,P00001,2025-01-21,2022-09-19,2025-01-21,-229320.00,13020.00,13020.00,250-NETWORK CONTRACT OFFICE 10 (36C250),583-INDIANAPOLIS(00583),IN,INDIANAPOLIS,MARION,462022375,07,INDEPENDENT ELEVATOR LLC,,C1DA,ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES,541330,ENGINEERING SERVICES,"AE UPGRADE A WING AND D WING ELEVATORS - COMMISSIONING - 583-22-101
(TERMINATION FOR CONVENIENCE)",,DEFINITIVE CONTRACT
36C25519F0229,P00003,2025-01-21,2019-07-22,2024-12-16,-294704.80,0.00,0.00,255-NETWORK CONTRACT OFFICE 15 (36C255),589 KAN WESTERN ORBIT,VA,CHANTILLY,FAIRFAX,201513744,11,"FOUR POINTS TECHNOLOGY, L.L.C.",,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",541519,OTHER COMPUTER RELATED SERVICES,TERMINATE FOR CONVENIENCE OF THE GOVERNMENT DUE TO THE FACILITY NO LONGER REQUIRING EQUIPMENT DUE INCOMPATIBILITY.,,DELIVERY ORDER
36C10X24C0035,P00001,2025-01-22,2024-09-30,2025-09-29,0.00,289778.00,289778.00,SAC FREDERICK (36C10X),SAC FREDERICK (36C10X),LA,NEW ORLEANS,JEFFERSON,701232837,01,EMPLOYMENT LEARNING INNOVATIONS INC,,R499,SUPPORT- PROFESSIONAL: OTHER,611430,PROFESSIONAL AND MANAGEMENT DEVELOPMENT TRAINING,NOTICE OF TERMINATION FOR CONVENIENCE.,,DEFINITIVE CONTRACT
36C25924P1484,P00001,2025-01-23,2024-09-27,2024-12-24,-24586.10,0.00,0.00,NETWORK CONTRACT OFFICE 19 (36C259),575-GRAND JUNCTION (00575),FL,JACKSONVILLE,DUVAL,322189434,04,"VETERANS HEALTHCARE SUPPLY SOLUTIONS, INC",,6530,"HOSPITAL FURNITURE, EQUIPMENT, UTENSILS, AND SUPPLIES",339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,TERMINATION OF EXAM CHAIRS CONTRACT DUE TO ALL PARTIES DETERMINING THE INCORRECT EQUIPMENT THAT DIDN'T MEET THE FACILITY NEEDS WERE ORDERED,,PURCHASE ORDER
36C10B25F0054,P00001,2025-01-24,2025-01-01,2025-01-24,-745662.29,69363.94,69363.94,TECHNOLOGY ACQUISITION CENTER NJ (36C10B),TECHNOLOGY ACQUISITION CENTER NJ (36C10B),UT,LOGAN,CACHE,843214794,01,"CENTEVA, LLC",,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,TERMINATION FOR CONVENIENCE AND DE-OBLIGATION. OPAL TIER 1 ACQUISITION SYSTEMS SUPPORT.,,DELIVERY ORDER
36C24924P0435,P00001,2025-01-24,2024-03-15,2024-10-31,-15375.00,0.00,0.00,249-NETWORK CONTRACT OFFICE 9 (36C249),596-LEXINGTON(00596),KY,LOUISVILLE,JEFFERSON,402061940,03,"ROBERT HARAGAN, INC.",,6636,ENVIRONMENTAL CHAMBERS AND RELATED EQUIPMENT,333413,INDUSTRIAL AND COMMERCIAL FAN AND BLOWER AND AIR PURIFICATION EQUIPMENT MANUFACTURING,TERMINATION FOR CONVENIENCE,,PURCHASE ORDER
36C25924F0434,P00001,2025-01-24,2024-07-17,2025-02-21,-12654.86,0.00,0.00,NETWORK CONTRACT OFFICE 19 (36C259),554-DENVER (00554),VA,ALEXANDRIA,ALEXANDRIA CITY,223053216,08,"KELLY COVE, INC.",,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",339113,SURGICAL APPLIANCE AND SUPPLIES MANUFACTURING,PROS LIFT,,DELIVERY ORDER
36C77623C0029,P00001,2025-01-24,2023-02-13,2024-05-30,-391784.66,71891.50,172270.07,PCAC (36C776),626-NASHVILLE (00626),GA,ATLANTA,FULTON,303180508,05,TOLAND MIZELL MOLNAR LLC,,C1DA,ARCHITECT AND ENGINEERING- CONSTRUCTION: HOSPITALS AND INFIRMARIES,541330,ENGINEERING SERVICES,TERMINATION FOR CONVENIENCE FOR THE SEISMIC REQUIREMENT AT THE POPLAR BLUFF VAMC.,,DEFINITIVE CONTRACT
36C24424N1190,P00001,2025-01-28,2024-09-27,2025-01-28,-40046.60,0.00,0.00,244-NETWORK CONTRACT OFFICE 4 (36C244),VETERANS HEALTH ADMINISTRATION,PA,LEBANON,LEBANON,170427529,09,"PROAIM AMERICAS, LLC.",,J065,"MAINT/REPAIR/REBUILD OF EQUIPMENT- MEDICAL, DENTAL, AND VETERINARY EQUIPMENT AND SUPPLIES",811210,ELECTRONIC AND PRECISION EQUIPMENT REPAIR AND MAINTENANCE,TERMINATE FOR CONVENIENCE (COMPLETE) - ZEISS EYE EQUIPMENT PM&R,,BPA CALL
36C24724P1042,P00001,2025-01-28,2024-07-18,2024-11-15,-204000.00,0.00,0.00,247-NETWORK CONTRACT OFFICE 7 (36C247),508-ATLANTA (00508)(36C508),CA,IRVINE,ORANGE,926145688,47,EDWARDS LIFESCIENCES LLC,,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",339112,SURGICAL AND MEDICAL INSTRUMENT MANUFACTURING,TERMINATION FOR CONVENIENCE,EO: RADICAL TRANSPARENCY ABOUT WASTEFUL SPENDING,PURCHASE ORDER
