"Downloaded on",12/21/2025,"14:49:59 EST"
"Search URL",https://www.congress.gov/member/nicholas-langworthy/L000600

"Legislation Number",URL,Congress,Title,Sponsor,"Date of Introduction",Committees,"Latest Action","Latest Action Date","Number of Cosponsors","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amends Amendment","Issue Date",Section,Volume,Number,Page,"Roll Call Vote Number","Date Voted",Description,"Roll Call Result","Member Vote"
"H.R. 6100",https://www.congress.gov/bill/119th-congress/house-bill/6100,"119th Congress (2025-2026)","Health ACCESS Act","Moore, Blake D. [Rep.-R-UT-1]",11/18/2025,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",11/18/2025,7,,,,,,,,,,,,,,,
"H.R. 6099",https://www.congress.gov/bill/119th-congress/house-bill/6099,"119th Congress (2025-2026)","To designate the facility of the United States Postal Service located at 2200 South Salina Street in Syracuse, New York, as the ""Wallie Howard Jr. Post Office Building"".","Mannion, John W. [Rep.-D-NY-22]",11/18/2025,"House - Oversight and Government Reform","Referred to the House Committee on Oversight and Government Reform.",11/18/2025,18,,,,,,,,,,,,,,,
"H.R. 6096",https://www.congress.gov/bill/119th-congress/house-bill/6096,"119th Congress (2025-2026)","NEST Act","Letlow, Julia [Rep.-R-LA-5]",11/18/2025,"House - Energy and Commerce","Referred to the House Committee on Energy and Commerce.",11/18/2025,8,,,,,,,,,,,,,,,
"H.R. 6037",https://www.congress.gov/bill/119th-congress/house-bill/6037,"119th Congress (2025-2026)","To reauthorize the West Valley demonstration project.","Langworthy, Nicholas A. [Rep.-R-NY-23]",11/12/2025,"House - Energy and Commerce","Referred to the House Committee on Energy and Commerce.",11/12/2025,0,,,,,,,,,,,,,,,
"H.R. 6019",https://www.congress.gov/bill/119th-congress/house-bill/6019,"119th Congress (2025-2026)","To repeal certain provisions relating to notification to Senate offices regarding legal process on disclosure of Senate data, and for other purposes.","Scott, Austin [Rep.-R-GA-8]",11/12/2025,"House - House Administration","Received in the Senate.",11/20/2025,39,,,,,,,,,,,,,,,
"H.R. 5883",https://www.congress.gov/bill/119th-congress/house-bill/5883,"119th Congress (2025-2026)","Safer Supervision Act of 2025","Lee, Laurel M. [Rep.-R-FL-15]",10/31/2025,"House - Judiciary","Referred to the House Committee on the Judiciary.",10/31/2025,13,,,,,,,,,,,,,,,
"H.R. 5643",https://www.congress.gov/bill/119th-congress/house-bill/5643,"119th Congress (2025-2026)","To name the Department of Veterans Affairs medical center located in Northport, New York, as the Navy (SEAL) Lieutenant Michael P. Murphy VA Medical Center, and for other purposes.","LaLota, Nick [Rep.-R-NY-1]",09/30/2025,"House - Veterans' Affairs","Referred to the House Committee on Veterans' Affairs.",09/30/2025,12,,,,,,,,,,,,,,,
"H.R. 5553",https://www.congress.gov/bill/119th-congress/house-bill/5553,"119th Congress (2025-2026)","CTE Student Mental Health and Wellness Act","Langworthy, Nicholas A. [Rep.-R-NY-23]",09/23/2025,"House - Energy and Commerce","Referred to the House Committee on Energy and Commerce.",09/23/2025,2,,,,,,,,,,,,,,,
"H.R. 5519",https://www.congress.gov/bill/119th-congress/house-bill/5519,"119th Congress (2025-2026)","Welles Remy Crowther Congressional Gold Medal Act","Lawler, Michael [Rep.-R-NY-17]",09/19/2025,"House - Financial Services","Referred to the House Committee on Financial Services.",09/19/2025,41,,,,,,,,,,,,,,,
"H.R. 5518",https://www.congress.gov/bill/119th-congress/house-bill/5518,"119th Congress (2025-2026)","Integrated Cross-Border Law Enforcement Operations Expansion Act","Langworthy, Nicholas A. [Rep.-R-NY-23]",09/19/2025,"House - Ways and Means, Judiciary, Homeland Security, Foreign Affairs","Referred to the Committee on Ways and Means, and in addition to the Committees on the Judiciary, Homeland Security, and Foreign Affairs, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",09/19/2025,14,,,,,,,,,,,,,,,
"H.R. 5517",https://www.congress.gov/bill/119th-congress/house-bill/5517,"119th Congress (2025-2026)","Northern Border Security Enhancement and Review Act","Langworthy, Nicholas A. [Rep.-R-NY-23]",09/19/2025,"House - Homeland Security","Referred to the House Committee on Homeland Security.",09/19/2025,15,,,,,,,,,,,,,,,
"H.R. 5455",https://www.congress.gov/bill/119th-congress/house-bill/5455,"119th Congress (2025-2026)","Aviation Funding Stability Act of 2025","Bean, Aaron [Rep.-R-FL-4]",09/18/2025,"House - Transportation and Infrastructure, Ways and Means","Referred to the Subcommittee on Aviation.",09/19/2025,26,,,,,,,,,,,,,,,
"H.R. 5401",https://www.congress.gov/bill/119th-congress/house-bill/5401,"119th Congress (2025-2026)","Pay Our Troops Act of 2026","Kiggans, Jennifer A. [Rep.-R-VA-2]",09/16/2025,"House - Appropriations","Referred to the House Committee on Appropriations.",09/16/2025,209,,,,,,,,,,,,,,,
"H.R. 5269",https://www.congress.gov/bill/119th-congress/house-bill/5269,"119th Congress (2025-2026)","RESULTS Act","Hudson, Richard [Rep.-R-NC-9]",09/10/2025,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",09/10/2025,54,,,,,,,,,,,,,,,
"H.R. 5257",https://www.congress.gov/bill/119th-congress/house-bill/5257,"119th Congress (2025-2026)","To reaffirm the trust status of land taken into trust by the United States pursuant to the Act of June 18, 1934, for the benefit of an Indian Tribe that was federally recognized on the date that the land was taken into trust.","Cole, Tom [Rep.-R-OK-4]",09/10/2025,"House - Natural Resources","Referred to the House Committee on Natural Resources.",09/10/2025,7,,,,,,,,,,,,,,,
"H.R. 5130",https://www.congress.gov/bill/119th-congress/house-bill/5130,"119th Congress (2025-2026)","Prevent Government Shutdowns Act of 2025","Arrington, Jodey C. [Rep.-R-TX-19]",09/04/2025,"House - Appropriations, Rules, House Administration, Oversight and Government Reform, Budget","Referred to the Committee on Appropriations, and in addition to the Committees on Rules, House Administration, Oversight and Government Reform, and the Budget, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",09/04/2025,5,,,,,,,,,,,,,,,
"H.R. 5106",https://www.congress.gov/bill/119th-congress/house-bill/5106,"119th Congress (2025-2026)","Restore Trust in Congress Act","Roy, Chip [Rep.-R-TX-21]",09/03/2025,"House - House Administration","Referred to the House Committee on House Administration.",09/03/2025,119,,,,,,,,,,,,,,,
"H.R. 4709",https://www.congress.gov/bill/119th-congress/house-bill/4709,"119th Congress (2025-2026)","Newborn Screening Saves Lives Reauthorization Act of 2025","Morrison, Kelly [Rep.-D-MN-3]",07/23/2025,"House - Energy and Commerce","Forwarded by Subcommittee to Full Committee by Voice Vote.",09/10/2025,4,,,,,,,,,,,,,,,
"H.R. 4708",https://www.congress.gov/bill/119th-congress/house-bill/4708,"119th Congress (2025-2026)","Spotted Lanternfly Research and Development Act","Morelle, Joseph D. [Rep.-D-NY-25]",07/23/2025,"House - Agriculture","Referred to the House Committee on Agriculture.",07/23/2025,39,,,,,,,,,,,,,,,
"H.R. 4690",https://www.congress.gov/bill/119th-congress/house-bill/4690,"119th Congress (2025-2026)","Reliable Federal infrastructure Act","Langworthy, Nicholas A. [Rep.-R-NY-23]",07/23/2025,"House - Energy and Commerce, Transportation and Infrastructure","Ordered to be Reported by the Yeas and Nays: 27 - 21.",12/03/2025,7,,,,,,,,,,,,,,,
"H.R. 4620",https://www.congress.gov/bill/119th-congress/house-bill/4620,"119th Congress (2025-2026)","To amend title 18, United States Code, to include rioting in the definition of racketeering activity.","Van Duyne, Beth [Rep.-R-TX-24]",07/22/2025,"House - Judiciary","Referred to the House Committee on the Judiciary.",07/22/2025,7,,,,,,,,,,,,,,,
"H.R. 4596",https://www.congress.gov/bill/119th-congress/house-bill/4596,"119th Congress (2025-2026)","McCarran-Walter Technical Corrections Act","Kennedy, Timothy M. [Rep.-D-NY-26]",07/22/2025,"House - Judiciary","Referred to the House Committee on the Judiciary.",07/22/2025,4,,,,,,,,,,,,,,,
"H.R. 4474",https://www.congress.gov/bill/119th-congress/house-bill/4474,"119th Congress (2025-2026)","Equal Shot Act of 2025","Williams, Roger [Rep.-R-TX-25]",07/16/2025,"House - Small Business","Referred to the House Committee on Small Business.",07/16/2025,45,,,,,,,,,,,,,,,
"H.R. 4317",https://www.congress.gov/bill/119th-congress/house-bill/4317,"119th Congress (2025-2026)","PBM Reform Act of 2025","Carter, Earl L. ""Buddy"" [Rep.-R-GA-1]",07/10/2025,"House - Energy and Commerce, Education and Workforce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committees on Education and Workforce, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",07/10/2025,65,,,,,,,,,,,,,,,
"H.R. 4234",https://www.congress.gov/bill/119th-congress/house-bill/4234,"119th Congress (2025-2026)","Safeguarding Americans From Extremist Risk (SAFER) at the Border Act","Langworthy, Nicholas A. [Rep.-R-NY-23]",06/27/2025,"House - Judiciary","Referred to the House Committee on the Judiciary.",06/27/2025,18,,,,,,,,,,,,,,,
"H.R. 4110",https://www.congress.gov/bill/119th-congress/house-bill/4110,"119th Congress (2025-2026)","The Organic Dairy Data Collection Act","Pingree, Chellie [Rep.-D-ME-1]",06/24/2025,"House - Agriculture","Referred to the House Committee on Agriculture.",06/24/2025,6,,,,,,,,,,,,,,,
"H.R. 4093",https://www.congress.gov/bill/119th-congress/house-bill/4093,"119th Congress (2025-2026)","Apples to Apples Comparison Act of 2025","Bean, Aaron [Rep.-R-FL-4]",06/24/2025,"House - Ways and Means, Energy and Commerce","Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",06/24/2025,17,,,,,,,,,,,,,,,
"H.R. 4008",https://www.congress.gov/bill/119th-congress/house-bill/4008,"119th Congress (2025-2026)","Pay Our Correctional Officers Fairly Act","Weber, Randy K. Sr. [Rep.-R-TX-14]",06/12/2025,"House - Oversight and Government Reform","Referred to the House Committee on Oversight and Government Reform.",06/12/2025,12,,,,,,,,,,,,,,,
"H.R. 3946",https://www.congress.gov/bill/119th-congress/house-bill/3946,"119th Congress (2025-2026)","FIGHT Act of 2025","Bacon, Don [Rep.-R-NE-2]",06/12/2025,"House - Agriculture","Referred to the House Committee on Agriculture.",06/12/2025,125,,,,,,,,,,,,,,,
"H.R. 3891",https://www.congress.gov/bill/119th-congress/house-bill/3891,"119th Congress (2025-2026)","Northern Border Security and Staffing Reform Act","Stauber, Pete [Rep.-R-MN-8]",06/10/2025,"House - Homeland Security","Referred to the House Committee on Homeland Security.",06/10/2025,10,,,,,,,,,,,,,,,
"H.R. 3881",https://www.congress.gov/bill/119th-congress/house-bill/3881,"119th Congress (2025-2026)","Stop Dangerous Sanctuary Cities Act","Langworthy, Nicholas A. [Rep.-R-NY-23]",06/10/2025,"House - Judiciary, Transportation and Infrastructure, Financial Services","Referred to the Committee on the Judiciary, and in addition to the Committees on Transportation and Infrastructure, and Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",06/10/2025,20,,,,,,,,,,,,,,,
"H.R. 3725",https://www.congress.gov/bill/119th-congress/house-bill/3725,"119th Congress (2025-2026)","Preventing the Abuse of Immigration Parole Act","McDowell, Addison P. [Rep.-R-NC-6]",06/04/2025,"House - Judiciary","Referred to the House Committee on the Judiciary.",06/04/2025,26,,,,,,,,,,,,,,,
"H.R. 3699",https://www.congress.gov/bill/119th-congress/house-bill/3699,"119th Congress (2025-2026)","Energy Choice Act","Langworthy, Nicholas A. [Rep.-R-NY-23]",06/04/2025,"House - Energy and Commerce","Ordered to be Reported by the Yeas and Nays: 24 - 21.",12/03/2025,147,,,,,,,,,,,,,,,
"H.R. 3657",https://www.congress.gov/bill/119th-congress/house-bill/3657,"119th Congress (2025-2026)","Hydropower Licensing Transparency Act","Schrier, Kim [Rep.-D-WA-8]",05/29/2025,"House - Energy and Commerce | Senate - Energy and Natural Resources","Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.",07/15/2025,3,,,,,,,,,,,,,,,
"H.R. 3628",https://www.congress.gov/bill/119th-congress/house-bill/3628,"119th Congress (2025-2026)","State Planning for Reliability and Affordability Act","Evans, Gabe [Rep.-R-CO-8]",05/29/2025,"House - Energy and Commerce | Senate - Energy and Natural Resources","Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.",12/15/2025,1,,,,,,,,,,,,,,,
"H.R. 3616",https://www.congress.gov/bill/119th-congress/house-bill/3616,"119th Congress (2025-2026)","Reliable Power Act","Balderson, Troy [Rep.-R-OH-12]",05/29/2025,"House - Energy and Commerce | Senate - Energy and Natural Resources","Received in the Senate and Read twice and referred to the Committee on Energy and Natural Resources.",12/18/2025,20,,,,,,,,,,,,,,,
"H.R. 3548",https://www.congress.gov/bill/119th-congress/house-bill/3548,"119th Congress (2025-2026)","Infrastructure Expansion Act of 2025","Langworthy, Nicholas A. [Rep.-R-NY-23]",05/21/2025,"House - Judiciary","Referred to the House Committee on the Judiciary.",05/21/2025,4,,,,,,,,,,,,,,,
"H.R. 3277",https://www.congress.gov/bill/119th-congress/house-bill/3277,"119th Congress (2025-2026)","Ensuring Lasting Smiles Act","Dunn, Neal P. [Rep.-R-FL-2]",05/08/2025,"House - Energy and Commerce, Education and Workforce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committees on Education and Workforce, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",05/08/2025,114,,,,,,,,,,,,,,,
"H.R. 3209",https://www.congress.gov/bill/119th-congress/house-bill/3209,"119th Congress (2025-2026)","App Store Freedom Act","Cammack, Kat [Rep.-R-FL-3]",05/06/2025,"House - Energy and Commerce","Referred to the House Committee on Energy and Commerce.",05/06/2025,5,,,,,,,,,,,,,,,
"H.R. 3207",https://www.congress.gov/bill/119th-congress/house-bill/3207,"119th Congress (2025-2026)","DEFENSE Act","Steube, W. Gregory [Rep.-R-FL-17]",05/06/2025,"House - Judiciary, Transportation and Infrastructure","Referred to the Subcommittee on Aviation.",05/06/2025,10,,,,,,,,,,,,,,,
"H.R. 3204",https://www.congress.gov/bill/119th-congress/house-bill/3204,"119th Congress (2025-2026)","BASIC ACT","Tenney, Claudia [Rep.-R-NY-24]",05/05/2025,"House - Ways and Means","Referred to the House Committee on Ways and Means.",05/05/2025,23,,,,,,,,,,,,,,,
"H.R. 3164",https://www.congress.gov/bill/119th-congress/house-bill/3164,"119th Congress (2025-2026)","Ensuring Community Access to Pharmacist Services Act","Smith, Adrian [Rep.-R-NE-3]",05/01/2025,"House - Energy and Commerce, Ways and Means","Referred to the Committee on Energy and Commerce, and in addition to the Committee on Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",05/01/2025,94,,,,,,,,,,,,,,,
"H.R. 3157",https://www.congress.gov/bill/119th-congress/house-bill/3157,"119th Congress (2025-2026)","State Energy Accountability Act","Langworthy, Nicholas A. [Rep.-R-NY-23]",05/01/2025,"House - Energy and Commerce","Placed on the Union Calendar, Calendar No. 255.",09/17/2025,2,,,,,,,,,,,,,,,
"H.R. 3143",https://www.congress.gov/bill/119th-congress/house-bill/3143,"119th Congress (2025-2026)","State Planning for Reliability and Affordability Act","Evans, Gabe [Rep.-R-CO-8]",05/01/2025,"House - Energy and Commerce","Referred to the House Committee on Energy and Commerce.",05/01/2025,1,,,,,,,,,,,,,,,
"H.R. 3105",https://www.congress.gov/bill/119th-congress/house-bill/3105,"119th Congress (2025-2026)","Promotion and Expansion of Private Employee Ownership Act of 2025","Kelly, Mike [Rep.-R-PA-16]",04/30/2025,"House - Ways and Means, Small Business, Education and Workforce","Referred to the Committee on Ways and Means, and in addition to the Committees on Small Business, and Education and Workforce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",04/30/2025,38,,,,,,,,,,,,,,,
"H.R. 3095",https://www.congress.gov/bill/119th-congress/house-bill/3095,"119th Congress (2025-2026)","To direct the United States Postal Service to designate single, unique ZIP Codes for certain communities, and for other purposes.","Boebert, Lauren [Rep.-R-CO-4]",04/30/2025,"House - Oversight and Government Reform | Senate - Homeland Security and Governmental Affairs","Received in the Senate and Read twice and referred to the Committee on Homeland Security and Governmental Affairs.",07/22/2025,33,,,,,,,,,,,,,,,
"H.R. 2853",https://www.congress.gov/bill/119th-congress/house-bill/2853,"119th Congress (2025-2026)","Combating Organized Retail Crime Act","Joyce, David P. [Rep.-R-OH-14]",04/10/2025,"House - Judiciary","Referred to the House Committee on the Judiciary.",04/10/2025,192,,,,,,,,,,,,,,,
"H.R. 2783",https://www.congress.gov/bill/119th-congress/house-bill/2783,"119th Congress (2025-2026)","Infrastructure Project Acceleration Act","Langworthy, Nicholas A. [Rep.-R-NY-23]",04/09/2025,"House - Natural Resources, Transportation and Infrastructure","Referred to the Committee on Natural Resources, and in addition to the Committee on Transportation and Infrastructure, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",04/09/2025,6,,,,,,,,,,,,,,,
"H.R. 2725",https://www.congress.gov/bill/119th-congress/house-bill/2725,"119th Congress (2025-2026)","Affordable Housing Credit Improvement Act of 2025","LaHood, Darin [Rep.-R-IL-16]",04/08/2025,"House - Ways and Means","Referred to the House Committee on Ways and Means.",04/08/2025,162,,,,,,,,,,,,,,,
"H.R. 2610",https://www.congress.gov/bill/119th-congress/house-bill/2610,"119th Congress (2025-2026)","Protecting Options for Seniors Act of 2025","Tenney, Claudia [Rep.-R-NY-24]",04/02/2025,"House - Ways and Means, Energy and Commerce","Referred to the Committee on Ways and Means, and in addition to the Committee on Energy and Commerce, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",04/02/2025,8,,,,,,,,,,,,,,,
"H.R. 2596",https://www.congress.gov/bill/119th-congress/house-bill/2596,"119th Congress (2025-2026)","Renewable Natural Gas Incentive Act of 2025","Fitzpatrick, Brian K. [Rep.-R-PA-1]",04/02/2025,"House - Ways and Means","Referred to the House Committee on Ways and Means.",04/02/2025,5,,,,,,,,,,,,,,,
"H.R. 2570",https://www.congress.gov/bill/119th-congress/house-bill/2570,"119th Congress (2025-2026)","Maximum Pressure Act","Nunn, Zachary [Rep.-R-IA-3]",04/01/2025,"House - Foreign Affairs, Judiciary, Ways and Means, Oversight and Government Reform, Financial Services, Rules, Intelligence (Permanent Select)","Referred to the Committee on Foreign Affairs, and in addition to the Committees on the Judiciary, Ways and Means, Oversight and Government Reform, Financial Services, Rules, and Intelligence (Permanent Select), for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.",04/01/2025,53,,,,,,,,,,,,,,,
