beneficiary_name,total_donated,num_programs,ida_exemptions,ida_projects,ida_names,esd_benefits,esd_programs,ppp_loans,ppp_forgiven,ppp_jobs,combined_govt_subsidy,subsidy_per_dollar_donated
WESTERN NEW YORK ENERGY,19575.0,3,434517.06,3,Orleans County Industrial Development Agency,34408190.22,Commercial Industrial Carbon Challenge; Empire Zone: ORLEANS COUNTY; Excelsior Jobs Admission; Excelsior Jobs Program; Excelsior Jobs Tax Credit,703600.0,707332.99,48,35550040.27,1816.0940112388253
ULTRA DAIRY,2000.0,3,300280.21,8,Onondaga County Industrial Development Agency,12922419.02,Empire Zone: ONONDAGA COUNTY; Excelsior Jobs Program,2193100.0,2217975.16,190,15440674.39,7720.337195
NASSAU CANDY DISTRIBUTORS,14700.0,3,3079349.36,14,Nassau County Industrial Development Agency,5053940.0,Empire Zone: NASSAU COUNTY; Excelsior Jobs Tax Credit; Excelsior Tax Credits,5704054.0,5768126.94,500,13901416.3,945.6745782312926
BACTOLAC PHARMACEUTICAL,7250.0,3,817731.0,8,Brookhaven Industrial Development Agency; Suffolk County Industrial Development Agency,4803544.0,Empire Zone: SUFFOLK COUNTY-RIVERHEAD; Excelsior Jobs Admission,7499600.0,7586262.04,500,13207537.04,1821.7292468965516
BRUNNER INTERNATIONAL,3425.0,3,114910.99,16,Orleans County Industrial Development Agency,5461046.0,Empire Zone: ORLEANS COUNTY,6091400.0,6144107.93,534,11720064.92,3421.9167649635037
WILLOW RUN FOODS,4293.0,3,100842.08,3,Broome Industrial Development Agency,7197837.71,Empire Zone: BROOME COUNTY - TOWN OF KIRKWOOD,3980300.0,4026864.06,443,11325543.85,2638.1420568367107
STEUBEN FOODS,26345.0,3,1519452.49,13,Erie County Industrial Development Agency,1428000.0,Excelsior Jobs Program; Regional Council Capital Fund,8133700.0,8247794.64,500,11195247.129999999,424.9476989941165
SEVIROLI FOODS,2000.0,3,29851.75,7,Nassau County Industrial Development Agency,7750119.0,Empire Zone: NASSAU COUNTY; Excelsior Jobs Admission,3157500.0,3198196.67,313,10978167.42,5489.08371
HOME LEASING,70749.0,3,8471938.66,28,Albany City Industrial Development Agency; City of Schenectady Industrial Development Agency; Monroe Industrial Development Agency; Seneca County Industrial Development Agency; Yates County Industrial Development Agency,0.0,LDC Loan (Monroe County Industrial Development Corporation),1848252.0,1861721.45,133,10333660.11,146.06086460586013
POSTLER JAECKLE,74262.5,3,66738.41,8,Chemung Industrial Development Agency,250000.0,Excelsior Jobs Program,9645400.0,9773829.16,369,10090567.57,135.87702501262413
OTIS PRODUCTS,490.0,3,354118.41,16,Lewis County Industrial Development Agency; Oswego County Industrial Development Agency,8474230.0,Empire Zone: LEWIS COUNTY,1225460.0,1233017.0,111,10061365.41,20533.39879591837
FELDMEIER EQUIPMENT,15200.0,3,373627.76,4,Herkimer Industrial Development Agency,4038984.0,Empire State Economic Development Fund; Empire Zone: HERKIMER COUNTY; Excelsior Jobs Admission; Excelsior Jobs Tax Credit; Excelsior Tax Credits; Regional Council Capital Fund,5511690.0,5572092.08,404,9984703.84,656.8884105263157
COX COMPANY,2400.0,3,5278331.46,8,Nassau County Industrial Development Agency,267154.0,Excelsior Jobs Admission,3552697.0,3592506.67,221,9137992.129999999,3807.496720833333
SONWIL DISTRIBUTION CENTER,6439.0,3,723373.21,10,Erie County Industrial Development Agency,3671398.29,Empire Zone: CITY OF BUFFALO,4157905.0,4211786.89,448,8606558.39,1336.6296614381115
BYRNE DAIRY,32519.89,3,196421.0,9,Onondaga County Industrial Development Agency,5655479.0,Empire Zone: SYRACUSE,2121100.0,2145100.39,145,7997000.390000001,245.91105289716543
POSITIVE PROMOTIONS,1000.0,3,1154101.25,9,Islip Industrial Development Agency,2008701.0,Empire Zone: ISLIP; Excelsior Jobs Program,4569135.0,4625717.16,355,7788519.41,7788.51941
A Z PHARMACEUTICAL,7700.0,3,1184573.66,24,Suffolk County Industrial Development Agency,2957401.0,Empire Zone: SUFFOLK COUNTY-RIVERHEAD; Excelsior Jobs Admission,3593100.0,3622934.17,295,7764908.83,1008.4297181818182
MADELAINE CHOCOLATE NOVELTIES,2252.5,3,1315463.59,4,New York City Industrial Development Agency,2166538.0,"Empire Zone: ROCKAWAY, QUEENS",4004225.0,4045996.33,454,7527997.92,3342.0634495005547
CELTIC SHEET METAL,2500.0,3,162014.07,3,Rockland County Industrial Development Agency,594126.0,Empire Zone: ROCKLAND COUNTY,6530213.0,6617069.6,621,7373209.67,2949.283868
MARSHALL FARMS GROUP,31500.0,3,16179.37,4,Wayne County Industrial Development Agency,4650131.69,Empire Zone: WAYNE COUNTY,2656000.0,2686728.44,206,7353039.5,233.4298253968254
CAMERON MANUFACTURING DESIGN,2200.0,3,65459.87,8,Chemung Industrial Development Agency,1386773.0,Empire Zone: ELMIRA,5606600.0,5659343.67,317,7111576.54,3232.534790909091
ROCHESTER PRECISION OPTICS,3350.0,3,39728.0,3,Monroe Industrial Development Agency,3669397.51,Empire Zone: MONROE COUNTY; Excelsior Jobs Tax Credit,3201400.0,3238660.74,250,6947786.25,2073.9660447761194
SENECA MARKET I,2500.0,3,736386.67,7,Schuyler County Industrial Development Agency,4488238.58,Brownfield Redevelopment (Seneca Market I LLC); Empire Zone: SCHUYLER COUNTY,1352175.61,1363057.13,169,6587682.38,2635.072952
VILLA ROMA RESORT CONFERENCE CENTER,950.0,3,82882.99,3,Sullivan County Industrial Development Agency,3197851.0,Empire Zone: SULLIVAN COUNTY,3095924.0,3125135.9,364,6405869.890000001,6743.020936842106
MATT BREWING COMPANY,370.0,3,1706281.65,2,Oneida County Industrial Development Agency,2829000.0,Excelsior Jobs Admission; Regional Council Capital Fund,1851907.5,1863272.63,125,6398554.28,17293.389945945946
WOODS OVIATT GILMAN,144492.0,3,119293.87,3,Monroe Industrial Development Agency,1829664.23,Empire Zone: ROCHESTER,4243000.0,4292501.67,206,6241459.77,43.19588468565733
WELLSVILLE CARPET TOWN,300.0,3,211738.68,6,Genesee County Industrial Development Agency,1150265.71,Empire Zone: CATTARAUGUS; Empire Zone: GENESEE COUNTY,4537540.0,4589752.79,475,5951757.18,19839.190599999998
TRACEY ROAD EQUIPMENT,130544.4,3,477743.79,4,Onondaga County Industrial Development Agency,400000.0,Regional Council Capital Fund,4948504.0,4997622.58,452,5875366.37,45.006651913065596
CRYOMECH,200.0,3,1844622.7,8,Onondaga County Industrial Development Agency,1800000.0,Empire State Economic Development Fund; Excelsior Jobs Admission; Excelsior Jobs Program,1857278.0,1874629.56,138,5519252.26,27596.2613
AUSCO,320.8,3,363788.98,8,Babylon Industrial Development Agency,1200000.0,Excelsior Jobs Admission; Excelsior Jobs Program,3730883.0,3774562.99,194,5338351.970000001,16640.748036159603
NORTH ATLANTIC INDUSTRIES,11530.0,3,662245.22,5,Islip Industrial Development Agency,718374.0,Excelsior Jobs Admission; Excelsior Jobs Tax Credit,3872517.0,3917911.5,214,5298530.72,459.5429939288812
STAR KAY WHITE,13550.0,3,77480.0,3,Rockland County Industrial Development Agency,3229173.67,Empire Zone: ROCKLAND COUNTY; Excelsior Jobs Admission; Excelsior Jobs Tax Credit,1931567.0,1950185.16,140,5256838.83,387.9585852398524
KRIS TECH WIRE COMPANY,100.0,3,2840951.94,2,Oneida County Industrial Development Agency,896964.0,Excelsior Jobs Tax Credit; Excelsior Tax Credits,1347110.0,1364565.55,74,5102481.49,51024.814900000005
