company_warn,company_ida,match_type,warn_date,warn_workers_affected,warn_event_type,warn_county,warn_industry,ida_total_exemptions,ida_num_projects,ida_names,ida_counties,ida_jobs_promised,ida_jobs_current,ida_jobs_deficit,earliest_ida_approval,layoff_after_ida_approval,ida_project_names
"Plug Power, Inc.",Plug Power Inc,exact,2025-07-03,278,Layoff,,,16028438.76,14,Albany County Industrial Development Agency; Genesee County Industrial Development Agency; Monroe Industrial Development Agency,Albany County; Genesee County; Monroe,3015.0,3115.0,-100.0,2021-02-16,YES,Plug Power; Plug Power Inc.; Yellowtail Energy (Plug Power)
"Plug Power, Inc.",Plug Power Inc,exact,2025-07-03,87,Layoff,,,16028438.76,14,Albany County Industrial Development Agency; Genesee County Industrial Development Agency; Monroe Industrial Development Agency,Albany County; Genesee County; Monroe,3015.0,3115.0,-100.0,2021-02-16,YES,Plug Power; Plug Power Inc.; Yellowtail Energy (Plug Power)
"Plug Power, Inc.",Plug Power Inc,exact,2025-07-03,2,Layoff,,,16028438.76,14,Albany County Industrial Development Agency; Genesee County Industrial Development Agency; Monroe Industrial Development Agency,Albany County; Genesee County; Monroe,3015.0,3115.0,-100.0,2021-02-16,YES,Plug Power; Plug Power Inc.; Yellowtail Energy (Plug Power)
DAC GROUP NEW YORK INC.,"Vecino Group New York, LLC.",word_overlap,2025-11-18,43,Layoff,,,7686894.99,44,Chemung Industrial Development Agency; City of Utica Industrial Development Agency; Cohoes Industrial Development Agency; St. Lawrence County Industrial Development Agency; Troy Industrial Development Authority,Chemung; City of Utica; Cohoes; St. Lawrence County; Troy Industrial Development Authority,504.0,357.0,147.0,2014-02-21,YES,"444 River Street Redevelopment Project; Mosaic Village Cohoes LLC; The Quarry Potsdam, LLC; Vecino Group New York LLC; Vecino Group New York, LLC - Hudson Art House"
DAC GROUP NEW YORK INC.,"Vecino Group New York, LLC.",word_overlap,2025-11-18,58,Layoff,,,7686894.99,44,Chemung Industrial Development Agency; City of Utica Industrial Development Agency; Cohoes Industrial Development Agency; St. Lawrence County Industrial Development Agency; Troy Industrial Development Authority,Chemung; City of Utica; Cohoes; St. Lawrence County; Troy Industrial Development Authority,504.0,357.0,147.0,2014-02-21,YES,"444 River Street Redevelopment Project; Mosaic Village Cohoes LLC; The Quarry Potsdam, LLC; Vecino Group New York LLC; Vecino Group New York, LLC - Hudson Art House"
"Ferguson Enterprises, LLC.",Ferguson Enterprises,exact,2025-04-24,32,Closure,,,5383143.0,8,Greene County Industrial Development Agency,Greene County,600.0,1023.0,-423.0,2014-01-16,YES,Ferguson Enterprises
Morgan Stanley,Morgan Stanley Services Group,word_overlap,2026-01-23,31,Layoff,,,3636848.65,3,Rockland County Industrial Development Agency,Rockland County,12.0,4.0,8.0,2022-03-22,YES,Morgan Stanley
Morgan Stanley,Morgan Stanley Services Group,word_overlap,2025-05-21,3,Layoff,,,3636848.65,3,Rockland County Industrial Development Agency,Rockland County,12.0,4.0,8.0,2022-03-22,YES,Morgan Stanley
Morgan Stanley,Morgan Stanley Services Group,word_overlap,2025-05-21,2,Layoff,,,3636848.65,3,Rockland County Industrial Development Agency,Rockland County,12.0,4.0,8.0,2022-03-22,YES,Morgan Stanley
Morgan Stanley,Morgan Stanley Services Group,word_overlap,2025-05-21,3,Layoff,,,3636848.65,3,Rockland County Industrial Development Agency,Rockland County,12.0,4.0,8.0,2022-03-22,YES,Morgan Stanley
Morgan Stanley,Morgan Stanley Services Group,word_overlap,2025-05-21,1,Layoff,,,3636848.65,3,Rockland County Industrial Development Agency,Rockland County,12.0,4.0,8.0,2022-03-22,YES,Morgan Stanley
Morgan Stanley,Morgan Stanley Services Group,word_overlap,2025-05-21,84,Layoff,,,3636848.65,3,Rockland County Industrial Development Agency,Rockland County,12.0,4.0,8.0,2022-03-22,YES,Morgan Stanley
Morgan Stanley,Morgan Stanley Services Group,word_overlap,2025-05-21,47,Layoff,,,3636848.65,3,Rockland County Industrial Development Agency,Rockland County,12.0,4.0,8.0,2022-03-22,YES,Morgan Stanley
Morgan Stanley,Morgan Stanley Services Group,word_overlap,2025-05-21,89,Layoff,,,3636848.65,3,Rockland County Industrial Development Agency,Rockland County,12.0,4.0,8.0,2022-03-22,YES,Morgan Stanley
Publishers Clearing House,Publishers Clearing House LLC,exact,2026-01-22,46,Layoff,,,1566375.24,8,Nassau County Industrial Development Agency,Nassau County,528.0,3608.0,-3080.0,2015-06-30,YES,Publishers Clearing House
Publishers Clearing House,Publishers Clearing House LLC,exact,2026-01-22,21,Layoff,,,1566375.24,8,Nassau County Industrial Development Agency,Nassau County,528.0,3608.0,-3080.0,2015-06-30,YES,Publishers Clearing House
"Upstate Niagara Cooperative, Inc.","""Upstate Niagara Cooperative, INC""",exact,2025-08-22,88,Closure,,,1255197.02,16,Erie County Industrial Development Agency; Monroe Industrial Development Agency; Steuben County Industrial Development Agency,Erie County; Monroe; Steuben County,932.0,2623.0,-1691.0,2000-08-16,YES,"UNC Real Estate I, LLC; Upstate Farms Cooperative, Inc.; Upstate Niagara Cooperative"
"Premier Home Health Care Services, Inc.",Premier Care Industries,word_overlap,2026-03-04,75,Layoff,,,770900.77,8,Suffolk County Industrial Development Agency,Suffolk County,320.0,1187.0,-867.0,2016-03-24,YES,Premier Care Industries
"Evans Bank, National Association","Evans Bank, N.A.",word_overlap,2025-01-27,64,Layoff,,,428038.0,5,Amherst Industrial Development Agency,Amherst,100.0,1028.0,-928.0,2019-07-26,YES,"Evans Bank, N.A."
"Presbyterian Home for Central New York, Inc.",Central New York Oil and Gas Company,word_overlap,2025-11-26,128,Closure,,,69944.18,5,Tioga County Industrial Development Agency,Tioga County,10.0,40.0,-30.0,2007-04-04,YES,Central New York Oil & Gas
"Serta Simmons Bedding, LLC.","Serta Simmons Bedding Company, LLC",word_overlap,2025-09-19,83,Closure,,,69701.0,8,Greene County Industrial Development Agency,Greene County,1280.0,1085.0,195.0,2016-08-25,YES,Serta Simmons
"NYP Holdings, Inc.","""NYP Holdings, Inc.""",exact,2025-06-03,83,Layoff,,,0.0,8,New York City Industrial Development Agency,New York City,432.0,2033.0,-1601.0,2002-03-25,YES,New York Post
