quarter,category,transaction_date,perform_start,perform_end,vendor,description,amount_usd
2023Q2,advertising,17-May-23,23-Feb-23,17-Mar-23,THE FRANKING GROUP,ADVERTISEMENTS,2500.00
2023Q2,tele_town_hall,28-Apr-23,20-Jan-23,20-Jan-23,COEFFICIENT GROUP,FRANKABLE TELECOM/TELETOWNHALL,5220.00
2023Q2,tele_town_hall,28-Apr-23,13-Feb-23,13-Feb-23,COEFFICIENT GROUP,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2023Q2,advertising,31-May-23,13-Apr-23,13-May-23,THE FRANKING GROUP,ADVERTISEMENTS,2500.00
2023Q3,tele_town_hall,15-Sep-23,11-Aug-23,11-Aug-23,COEFFICIENT GROUP,FRANKABLE TELECOM/TELETOWNHALL,4001.85
2023Q3,tele_town_hall,15-Sep-23,29-Aug-23,29-Aug-23,COEFFICIENT GROUP,FRANKABLE TELECOM/TELETOWNHALL,6840.00
2023Q3,advertising,21-Sep-23,25-Jul-23,27-Aug-23,THE FRANKING GROUP,ADVERTISEMENTS,2000.00
2023Q3,advertising,23-Aug-23,19-Jul-23,22-Jul-23,CITIBANK -FACEBK 8JM58TF3J2,ADVERTISEMENTS,25.00
2023Q3,advertising,23-Aug-23,1-Jul-23,9-Jul-23,CITIBANK -FACEBK 9G4RSRP2J2,ADVERTISEMENTS,15.00
2023Q3,advertising,23-Aug-23,30-Jun-23,1-Jul-23,CITIBANK -FACEBK GCGTYRB3J2,ADVERTISEMENTS,10.00
2023Q3,advertising,23-Aug-23,19-Jul-23,19-Jul-23,CITIBANK -FACEBK MUF48SP3J2,ADVERTISEMENTS,1.77
2023Q3,advertising,23-Aug-23,24-Jun-23,30-Jun-23,CITIBANK -FACEBK PZW2JRP2J2,ADVERTISEMENTS,7.00
2023Q3,advertising,23-Aug-23,9-Jul-23,13-Jul-23,CITIBANK -FACEBK Z7QL4SP2J2,ADVERTISEMENTS,10.26
2023Q3,advertising,25-Jul-23,22-Jun-23,24-Jun-23,CITIBANK -FACEBK HD3RSR73J2,ADVERTISEMENTS,6.00
2023Q3,advertising,25-Jul-23,22-Jun-23,23-Jun-23,CITIBANK -FACEBK KXKYGRT2J2,ADVERTISEMENTS,6.00
2023Q3,advertising,25-Jul-23,20-Jun-23,22-Jun-23,CITIBANK -FACEBK ZKDBRR73J2,ADVERTISEMENTS,6.00
2023Q3,tele_town_hall,26-Sep-23,1-Sep-23,1-Sep-23,COEFFICIENT GROUP,FRANKABLE TELECOM/TELETOWNHALL,200.00
2023Q3,advertising,26-Sep-23,18-Aug-23,19-Aug-23,CITIBANK -FACEBK 2PPBYTK3J2,ADVERTISEMENTS,2.55
