project_code,authority_name,applicant_name,school_district_name,project_city,date_approved,planned_end_year,school_revenue_lost,jobs_promised,jobs_current,job_shortfall,job_shortfall_pct,revenue_per_job,avg_salary_created,total_donated,is_nonprofit
401-1807A,Cattaraugus Industrial Development Agency,West Valley Solar,,WEST VALLEY,06/19/2018,2036,12892450.0,1,0,1,100.0,12892450.0,45000.0,0.0,No
55070702A,Yonkers Industrial Development Agency,FC Yonkers,Yonkers City School District,YONKERS,06/06/2007,2032,5498395.74,4000,576,3424,85.6,14623.39,29000.0,0.0,No
55070702A,Yonkers Industrial Development Agency,FC Yonkers,Yonkers City School District,YONKERS,06/06/2007,2032,5312931.369999999,4000,576,3424,85.6,14130.14,29000.0,0.0,No
55070702A,Yonkers Industrial Development Agency,FC Yonkers,Yonkers City School District,YONKERS,06/06/2007,2032,5262308.91,4000,576,3424,85.6,13995.5,29000.0,0.0,No
55070702A,Yonkers Industrial Development Agency,FC Yonkers,Yonkers City School District,YONKERS,06/06/2007,2032,4973089.65,4000,576,3424,85.6,13226.3,29000.0,0.0,No
55070702A,Yonkers Industrial Development Agency,FC Yonkers,Yonkers City School District,YONKERS,06/06/2007,2032,4886847.32,4000,576,3424,85.6,12996.93,29000.0,0.0,No
55070702A,Yonkers Industrial Development Agency,FC Yonkers,Yonkers City School District,YONKERS,06/06/2007,2032,4849461.01,4000,576,3424,85.6,12897.5,29000.0,0.0,No
18012104A,Genesee County Industrial Development Agency,Plug Power Inc.,Oakfield-Alabama Central School District,ALABAMA,03/25/2021,2042,3844082.0,68,0,68,100.0,3844082.0,67500.0,19700.0,No
5503-00-01A,New Rochelle Industrial Development Agency,"Avalon Redevelopment, LLC",New Rochelle City School District,NEW ROCHELLE,05/24/1999,2029,3530212.0,15,0,15,100.0,3530212.0,55000.0,0.0,No
90020589c,Chautauqua Industrial Development Agency,Cassadaga Wind LLC,,FREDONIA,01/23/2018,2041,3472109.0,6,0,6,100.0,3472109.0,350000.0,0.0,No
5503-00-01A,New Rochelle Industrial Development Agency,"Avalon Redevelopment, LLC",New Rochelle City School District,NEW ROCHELLE,05/24/1999,2029,3443901.0,15,0,15,100.0,3443901.0,55000.0,0.0,No
5503-00-01A,New Rochelle Industrial Development Agency,"Avalon Redevelopment, LLC",New Rochelle City School District,NEW ROCHELLE,05/24/1999,2029,3396181.0,15,0,15,100.0,3396181.0,55000.0,0.0,No
