pacid,affiliateid,orgid,firstlastp,ultorg,total,pacs,indivs,releasedate,rank,client,registrant,numlobbyists,loborgid,maxyear
C00797670,"",D000046963,Nick Langworthy (R),American Israel Public Affairs Cmte,31550,10000,21550,2025-02-06 00:00:00 +0000,1,x,"",0,D000046963,2024
C00033589,"",D000000457,Nick Langworthy (R),Corning Inc,31150,10000,21150,2025-02-06 00:00:00 +0000,2,x,"",4,D000000457,2024
"","",D000021873,Nick Langworthy (R),Blackstone Group,25219,0,25219,2025-02-06 00:00:00 +0000,3,x,"",3,D000021873,2024
"","",D000044511,Nick Langworthy (R),"Lippes, Mathias et al",17381,0,17381,2025-02-06 00:00:00 +0000,4,"",x,0,D000044511,2024
C00247403,"",D000022158,Nick Langworthy (R),NorPAC,15649,0,15649,2025-02-06 00:00:00 +0000,5,"","",0,"",""
"","",D000093390,Nick Langworthy (R),Accent Stripe Inc,13500,0,13500,2025-02-06 00:00:00 +0000,6,"","",0,"",""
"","",D000049892,Nick Langworthy (R),Crystal Window & Door Systems,13200,0,13200,2025-02-06 00:00:00 +0000,7,x,"",0,D000049892,2024
"","","",Nick Langworthy (R),Frey Electric Construction Co,13200,0,13200,2025-02-06 00:00:00 +0000,7,"","",0,"",""
"","",D000044041,Nick Langworthy (R),Patrick P Lee Foundation,13200,0,13200,2025-02-06 00:00:00 +0000,7,"","",0,"",""
"","",D000037480,Nick Langworthy (R),SentosaCare,13200,0,13200,2025-02-06 00:00:00 +0000,7,"","",0,"",""
"","","",Nick Langworthy (R),Stephen Development,12600,0,12600,2025-02-06 00:00:00 +0000,11,"","",0,"",""
"","",D000092340,Nick Langworthy (R),New York Cancer & Blood Specialists,10055,0,10055,2025-02-06 00:00:00 +0000,12,"","",0,"",""
C00035451,"",D000000117,Nick Langworthy (R),Air Line Pilots Assn,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000000117,2024
C00267849,"",D000000839,Nick Langworthy (R),Allied Pilots Assn,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000000839,2024
C00010868,"",D000000682,Nick Langworthy (R),American Council of Engineering Cos,10000,10000,0,2025-02-06 00:00:00 +0000,13,x,"",0,D000000682,2024
