cid,total,indivs,pacs,catorder,industry,releasedate,rank,districtrank
N00051431,95700,0,95700,Q03,Leadership PACs,2025-02-06 00:00:00 +0000,1,
N00051431,83640,83640,0,W06,Retired,2025-02-06 00:00:00 +0000,2,1
N00051431,80662,74662,6000,F10,Real Estate,2025-02-06 00:00:00 +0000,3,14
N00051431,78947,78947,0,K02,Lobbyists,2025-02-06 00:00:00 +0000,4,42
N00051431,77469,58469,19000,F07,Securities & Investment,2025-02-06 00:00:00 +0000,5,36
N00051431,72698,38698,34000,H01,Health Professionals,2025-02-06 00:00:00 +0000,6,5
N00051431,67893,57893,10000,Q05,Pro-Israel,2025-02-06 00:00:00 +0000,7,82
N00051431,66466,16466,50000,E01,Oil & Gas,2025-02-06 00:00:00 +0000,8,7
N00051431,59189,54939,4250,K01,Lawyers/Law Firms,2025-02-06 00:00:00 +0000,9,16
N00051431,56105,35605,20500,C03,Special Trade Contractors,2025-02-06 00:00:00 +0000,10,20
N00051431,51000,0,51000,P03,Transportation Unions,2025-02-06 00:00:00 +0000,11,68
N00051431,50499,17499,33000,A01,Crop Production & Basic Processing,2025-02-06 00:00:00 +0000,12,17
N00051431,46883,3633,43250,F09,Insurance,2025-02-06 00:00:00 +0000,13,25
N00051431,37925,31925,6000,Q01,Republican/Conservative,2025-02-06 00:00:00 +0000,14,89
N00051431,37474,6575,30899,N02,"Beer, Wine & Liquor",2025-02-06 00:00:00 +0000,15,29
N00051431,36400,25400,11000,B12,Electronics Mfg & Equip,2025-02-06 00:00:00 +0000,16,4
N00051431,34270,34270,0,W03,Civil Servants/Public Officials,2025-02-06 00:00:00 +0000,17,9
N00051431,33250,0,33250,A07,Agricultural Services/Products,2025-02-06 00:00:00 +0000,18,47
N00051431,29755,12255,17500,C05,Building Materials & Equipment,2025-02-06 00:00:00 +0000,19,24
N00051431,26500,0,26500,B09,Telecom Services,2025-02-06 00:00:00 +0000,20,78
